Xpos,Ypos,CYR61,NGFR,LOXL2,GAPDH
1544.52447216891,990.807741522713,4,0,4,284
1592.12189404594,1300.21073605251,0,0,17,302
1594.46419853539,1087.17005695688,1,0,3,155
1607.54659743099,1439.47471986882,3,2,5,210
1665.85344624794,1206.43048694425,0,0,9,208
1710.38021638331,1391.19551777434,0,0,6,285
1747.92286668691,1030.26935924689,1,0,1,174
1739.11689961881,1264.55527318933,0,0,9,152
1837.83689205219,1334.35290628707,0,0,13,246
1839.07584597433,1078.14644107351,0,0,2,136
1944.05791505792,1024.77451737452,0,0,3,89
1958.68453309561,1349.35145977268,0,0,20,386
1977.22153846154,1212.54021978022,0,0,8,185
1994.69239071775,1494.62547220723,0,0,5,202
2078.14649559556,1413.58942933742,1,1,21,392
2071.06238592998,1265.72606603617,3,0,10,340
2116.43995894629,1474.24563804311,4,0,9,179
2284.28061139724,1399.93636816747,8,0,12,300
2283.75357492654,1531.1582761998,1,0,7,224
2292.60884070058,1112.06255212677,1,0,6,123
2392.50339761249,1369.7564738292,3,0,2,220
2463.83036263061,1532.50952673632,1,0,5,144
2463.75974025974,1437.47402597403,1,0,3,210
2546.2353955181,1193.26278490711,13,0,12,302
2544.71056661562,1505.03930576825,2,0,24,295
2545.2047643183,997.141915864166,0,0,1,95
2613.6568236233,1456.37509976057,0,1,21,443
2650.18263005135,1264.6680062514,5,0,6,257
2720.37375058384,1532.1766464269,7,0,15,492
2683.90301075269,1123.49161290323,18,0,7,357
2746.04496047431,1368.62401185771,1,0,5,296
2757.24070450098,1051.5084148728,3,0,9,120
2788.22135619641,1653.07612366849,1,0,2,130
2805.3856456044,1631.8176510989,2,0,0,72
2857.24374079529,1394.95544918999,2,0,7,200
2874.88254080908,1568.06706884315,0,0,5,167
2924.67122695853,1282.82445276498,3,1,14,425
2973.81076581576,1401.64816870144,1,0,10,184
3033.47975830816,1151.96374622357,0,0,6,129
3053.67625252752,1460.75982925185,0,0,6,124
3081.08158175989,1351.60901318133,8,0,11,198
3098.80665097116,1229.76898175397,3,0,2,174
3174.85379096374,1429.95947256157,2,1,4,118
3213.8072519084,1297.94346374046,0,0,6,147
3294.87695800227,1024.26469920545,0,0,0,84
3406.79409209383,1019.21155516942,0,0,4,115
3518.16975537435,1862.49987645169,4,0,11,112
3610.89104915627,1809.51540719002,0,0,3,30
3679.29707176453,1059.07510241238,2,2,6,529
3820.79837039083,1104.2582516227,0,0,1,169
3747.41068022886,1832.91671964399,2,0,3,215
3813.870321065,1096.52012529366,0,0,3,233
3765.39523154516,2107.53690967446,0,0,0,1
3837.11902339776,2022.29450661241,0,0,3,146
3949.80331753554,2103.0278436019,0,0,0,39
4281.1186440678,1137.45849630595,0,0,0,47
5231.23643122677,1077.38141263941,0,0,0,260
5520.12978986403,983.21260815822,3,5,0,340
6040.01986475063,1175.2561284869,1,0,5,156
6086.72913769124,1124.73783031989,0,0,2,130
6153.42909591556,1244.66773749426,1,1,8,268
6184.16129032258,1332.31282820705,3,0,0,182
6300.86600671734,1226.55347357257,0,0,2,316
6334.68711159146,1315.5079708187,0,0,10,340
6526.81532475307,1489.19994013768,0,0,3,66
6585.68053855569,1318.51193390453,2,0,4,93
6768.70804763623,1312.41266690725,1,0,3,62
6786.21937086093,1409.26158940397,0,0,2,35
6815.5917517972,1652.0242149073,1,0,0,20
6824.87385210247,1035.67907201547,1,0,10,226
6835.37028301887,1237.68632075472,0,0,1,28
6893.87987573352,1327.60925094926,1,0,5,118
6962.89737540549,1010.62046593925,0,0,3,160
7000.76819204801,1690.47374343586,0,1,0,88
6991.06981132075,1336.62377358491,2,0,9,169
6992.55350353069,1144.26670287887,1,1,2,77
7097.7604832978,1493.69130537787,2,0,1,161
7119.44356597601,1242.95528898582,0,0,34,163
7140.31054365733,1584.60543657331,0,0,1,88
7201.61062218584,1021.27200163733,1,0,29,274
7210.25718496684,1619.08529845247,0,0,8,92
7199.24602739726,1489.0498630137,0,0,4,108
7210.24094025465,1231.86679725759,1,1,12,120
7226.83333333333,1766.49021592443,1,0,4,88
7271.59685553248,1835.20439038861,2,1,0,328
7292.14258734655,1181.28234183192,0,1,18,189
7303.87103538663,1614.63381389253,0,0,4,87
7348.65709191759,1913.24366085578,0,0,4,590
7370.34787667248,1769.52123327516,0,0,5,289
7374.72132796781,1540.17236753856,0,0,4,170
7465.59535981125,1608.45182854896,1,0,15,259
7467.41606714628,1437.44904076739,1,0,6,249
7523.04848273457,1356.03365887687,2,0,1,264
7541.99336112398,1542.21723019917,0,0,3,300
7636.19621583742,1561.44113524877,0,0,5,208
8064.89029072957,2277.6467361492,0,0,4,209
9648.72142316427,1423.54504163513,0,0,0,44
174.193961573651,1956.74138456847,0,0,1,221
369.037074486013,2084.12740141557,1,0,3,170
442.151301115242,2155.61301115242,2,0,8,166
513.212269083304,2227.1181596375,1,1,12,175
579.717852684145,2081.92059925094,0,2,11,162
589.407706650093,1928.53325046613,1,0,2,46
618.616685890042,2275.01960784314,1,0,3,149
674.826043405676,1981.00634390651,0,1,10,97
728.66575181337,2231.64203097432,2,0,3,114
694.143362831858,2102.15973451327,0,0,2,36
691.462589073634,2295.37529691211,1,0,1,76
860.571088310737,1908.2947966288,2,2,2,193
835.93243747667,2003.92459873087,2,0,3,73
897.550881953867,2173.12320217096,0,0,2,93
1037.73709502403,2271.89164470625,15,0,6,385
1034.84107860011,2034.46615031555,0,0,5,160
1049.2600286533,1946.39255014327,1,0,0,162
1164.85212053571,2337.59235491071,5,1,2,130
1211.87616707617,2010.24471744472,0,0,1,150
1400.24594626583,2085.84660906616,3,0,12,398
1746.18666219839,2072.09316353887,1,0,0,144
1782.25111821086,2251.42300319489,0,0,5,160
1838.27431566686,1952.98136284217,8,1,2,114
1927.62813807531,2264.48221757322,2,0,2,77
1938.51146788991,2155.21376146789,0,0,7,98
1961.05302366345,2027.62971078002,1,0,1,101
1992.70400500626,2241.46182728411,0,0,1,50
2036.62389530931,2324.26155676411,12,0,1,95
2036.75619469027,2697.5092920354,2,0,1,83
2079.75395526459,1987.44080741953,1,0,1,62
2122.44869831547,2313.6539050536,9,0,8,128
2152.56499556344,2523.03194321207,40,0,2,193
2165.25406448057,2707.88619454395,2,0,1,98
2190.89403790289,2420.85281505049,1,0,7,164
2250.513116802,2589.473766396,48,1,0,118
2258.93304964539,2089.93985815603,0,0,1,88
2295.70155902004,2714.30330026321,1,0,1,95
2300.04601840736,2384.30732292917,6,0,4,89
2393.26432368576,2333.4367985824,3,2,1,89
2453.40369558409,2716.14249921704,1,0,3,103
2507.7574238334,2526.31315079059,4,0,1,41
2542.93813625685,2746.84573218481,1,0,0,61
2585.33644444444,2394.65481481481,1,1,0,92
2686.09236499069,2230.5199255121,1,0,5,118
2715.07755725191,2435.90015267176,0,0,5,76
2736.87226640159,2582.55715705765,3,0,8,76
2740.25686940414,2122.97838839148,3,0,4,90
2788.00255232261,2297.49310872894,0,0,6,178
2859.68412438625,2160.34451718494,3,0,2,53
2878.47458369851,2225.07756354075,0,0,0,21
2912.06026015397,2379.19883196177,3,1,2,67
2900.65955284553,2085.11924119241,0,0,6,129
2955.05347890452,2535.57901554404,0,1,1,44
2933.90398698129,2460.54190398698,1,0,5,31
3014.84140233723,2372.30050083472,0,0,1,36
3031.63642255347,2760.64614387557,1,0,4,13
3049.3085443038,2009.81882911392,0,0,1,27
3059.09450491107,2445.69816830369,0,0,7,61
3084.05596555966,2161.84563345633,0,0,10,134
3122.74780236435,2782.12003637466,2,0,8,4
3218.00620017715,2300.04517271922,0,1,1,165
3264.03264139591,2474.68622141998,2,0,10,81
3287.51153730896,1955.58555588852,3,0,4,71
3266.2576489533,2732.78743961353,1,0,1,10
3305.69666941921,2374.12936966694,4,0,11,93
3359.77544031311,2087.86154598826,2,0,5,40
3399.13400503778,2447.71486146096,4,0,2,59
3448.62041202936,2227.37982476912,3,0,5,94
3461.74548342267,2341.08973595394,5,1,3,144
3501.32170791127,2131.66508526734,2,0,8,68
3504.49097135741,2029.13667496887,11,0,2,63
3555.21197522367,2324.16517549897,13,0,2,61
3577.14372246696,2404.79185022026,0,0,11,100
3595.26594863297,1997.86785418393,2,0,12,53
3675.92423133236,2458.06551976574,0,0,4,40
3766.83275481224,2107.21584095929,0,0,0,8
3744.73869346734,2107.73366834171,0,0,0,52
3795.89471873387,2457.64923447445,1,0,6,64
3778.70222822417,2105.09115462525,0,0,0,51
3807.40785907859,2539.11178861789,0,0,0,15
3870.76047120419,1930.86191099476,0,0,4,206
3888.81581878945,2486.86000742666,0,0,15,84
3899.726,2323.5564,0,0,1,62
4025.44181213633,2490.91604322527,0,0,1,158
4005.91785903551,2160.21409644939,0,0,1,69
4059.28709288299,2588.84439083233,0,0,2,81
4143.4196958457,2556.71513353116,0,0,4,60
4503.88869361453,2539.0661980082,0,0,1,58
4551.08083140878,2693.90454195535,0,0,6,126
4587.86344457231,2524.79439969313,0,0,1,88
4678.91284611893,2543.63549704948,0,0,10,138
4786.93830090176,2600.79615567157,0,0,1,109
4807.04247876062,2764.7736131934,0,0,3,176
5005.98400387785,2721.99127484246,1,0,2,120
5466.65650644783,2663.3182883939,1,0,3,57
5544.90146802687,2590.1390893257,0,0,0,82
5656.474393531,2516.46181491464,1,0,8,196
5732.23950419832,2571.49286951886,1,0,8,269
5841.96120689655,2582.50287356322,0,0,1,64
6375.59526112186,2761.13588007737,1,0,10,98
7314.75820971218,2652.6692024851,0,0,0,133
7345.09358974359,2534.83034188034,0,0,1,99
7387.22958397535,2603.18798151002,0,0,0,106
7501.73587896254,2548.66268011527,0,0,0,42
7701.13614262561,2739.17423014587,0,0,0,14
7454.36956521739,2573.7097826087,0,0,2,83
7495.76489475562,2731.55012486621,0,0,1,50
7519.32015145141,2538.54375262936,0,0,3,79
7516.02669762043,2011.61404526988,0,0,4,129
7557.98646934461,2917.37082452431,0,0,1,71
7608.77023922152,2448.8029463441,0,0,3,62
7608.01810979061,2196.98641765705,0,0,9,201
7630.91087489779,2672.61242845462,0,0,1,109
7696.33873769543,2310.32020845397,2,0,4,127
7712.30582774626,2563.04615781331,0,0,9,65
7794.50445042434,2428.04574622231,1,0,1,93
7786.58745387454,2627.89483394834,0,1,0,49
7957.9350485912,2278.0385933021,2,0,15,452
7896.45774378585,2754.817208413,0,0,0,125
7892.65556711759,2395.79708636837,0,0,8,101
8013.44112713854,2606.71787990607,0,0,3,43
8015.72319881159,2504.81059668235,2,1,4,183
8020.6093274755,2420.97161203109,0,0,4,198
8100.30085216747,2426.46165246388,0,0,1,133
8119.45147986414,2537.57690441533,1,0,3,269
8188.67308595585,2725.36856113982,1,0,3,153
8227.03316421235,2502.61997277565,1,0,20,462
8221.05695632598,2615.55650607834,0,0,5,181
8351.31526336025,2666.76086120723,0,0,2,203
10558.7295482295,2571.31135531136,0,0,0,41
1450.72195660169,3634.64545788893,1,0,5,153
1619.5648989899,3054.77575757576,0,0,5,161
1767.26048011465,3055.46614116804,1,0,2,156
1887.9756097561,3473.80518678604,2,0,3,164
1987.72447257384,2947.36202531646,0,0,0,137
1997.78075170843,3411.9555808656,0,0,0,54
2011.44875659382,3054.18048229088,7,0,0,107
2056.9237545565,3139.37150668287,2,0,1,101
2065.22500728651,3495.23345963276,1,0,0,116
2080.92948362021,3292.37090505275,0,0,3,97
2074.81205673759,3652.84687298517,1,0,2,112
2132.90173724213,2816.0016286645,1,1,0,159
2190.32941903585,2891.69715698393,1,0,1,37
2224.64209868832,3278.19113054341,0,0,2,57
2233.683709114,3593.7481740235,3,0,0,40
2289.72313527181,3386.24083438685,2,0,6,185
2296.80773981062,2881.25442568958,0,0,0,115
2330.9048977651,2960.98953875416,1,0,6,107
2329.0254590985,3576.26919866444,0,0,2,87
2375.09150505326,3170.60338705272,1,0,1,77
2371.19232123987,3671.02676998943,2,0,1,49
2376.05631067961,3496.07702265372,2,0,1,55
2418.97968570333,3555.50057493292,0,1,1,80
2439.21234638468,3306.66533295227,0,0,9,119
2450.60388782664,2981.21096239643,9,0,11,164
2457.89741750359,3646.28335724534,0,0,0,78
2558.98976073556,3370.36944937833,0,0,2,197
2542.5690887433,3670.19267421084,0,0,1,49
2550.5175315568,3487.48200093502,0,0,3,126
2602.19040816327,3110.50734693878,0,0,0,98
2650.46425702811,3517.47991967871,1,0,2,101
2709.08003020008,3405.35560588901,0,0,3,47
2735.66899028306,2936.34833122095,2,0,0,106
2745.69686560756,3297.78359811078,0,0,1,74
2762.979784806,3061.93446364526,0,0,2,30
2838.54744300678,3305.61860751694,0,0,7,32
2929.70322580645,3195.17741935484,1,0,4,15
2942.55158552925,3086.50602947745,1,0,0,5
2995.28215434084,3429.75482315113,1,0,23,20
3009.63909646739,3574.27471127717,1,0,9,34
3061.34113532419,3195.27414581652,7,1,17,25
3118.51665692577,3446.84102863822,2,0,8,22
3188.95230839555,3420.08197470669,0,0,3,32
3228.41084035527,3090.75654748349,5,0,1,17
3267.47080028839,3272.45541937034,1,0,6,34
3303.73810741688,3492.79744245524,0,0,1,2
3311.34884615385,3367.61769230769,3,0,1,33
3379.82068761114,3309.88144635448,1,1,2,22
3381.70230439443,2827.93515541265,0,0,0,8
3455.20889113412,3390.73617075019,2,1,7,31
3484.73340723292,3105.67063876957,0,1,0,16
3474.6872224963,3673.88307844105,0,0,3,18
3624.35592877378,3380.44577094294,3,0,2,15
3582.25912259123,2978.78720787208,2,0,1,11
3643.10646599777,3605.36677814939,0,0,0,1
3660.90901835595,3135.79489225858,0,0,0,24
3673.64529658478,3543.98202516477,0,1,3,14
3746.91282894737,3230.98601973684,8,13,13,119
3779.59007205765,3462.29303442754,1,0,0,65
3797.16189759036,3324.34638554217,0,0,1,125
3929.80729465824,3427.29282021827,0,0,25,393
3929.06952566602,3062.79499675114,39,1,5,211
3992.1937007874,3188.41709786277,13,0,3,118
4057.02247975426,3383.51912873499,0,1,4,158
4068.95441389291,3257.68958031838,2,0,0,27
4075.80338266385,3156.35165609584,0,0,0,18
4141.32084225553,3503.52569593148,0,0,3,93
4174.48713023435,3420.11717249328,0,0,2,41
4370.86915887851,3317.43424566088,0,0,9,116
4939.90231124807,2834.09553158706,1,0,4,257
5023.16750083417,2998.88755422089,0,0,5,197
5048.1784,2874.6216,0,1,3,172
5084.17804960924,3082.70200475705,0,0,1,113
5130.35395408163,2820.8431122449,1,1,5,174
5191.09004926108,3643.93773399015,0,0,6,111
5223.0328407225,3051.50246305419,1,0,4,206
5291.6883976775,2944.80411531018,1,0,4,340
5300.81174012158,3520.79065349544,1,0,7,209
5345.8659334126,3675.62306777646,0,1,3,135
5400.3899408284,3576.4573964497,0,0,0,54
5409.10711348684,3434.44921875,1,0,2,158
5445.26763636364,3202.58516363636,0,0,2,241
5423.89194499018,2921.38965291421,1,0,2,178
5436.6683626272,3637.99583718779,0,0,3,39
5495.34842079085,3039.9890574484,0,0,11,342
5534.96850809289,3540.83128078818,0,0,8,241
5521.9935483871,2809.60248138958,0,0,11,123
5527.27818181818,3404.61136363636,0,0,0,64
5540.46989307822,3334.50196961171,1,1,4,122
5584.52565789474,3267.31973684211,1,0,0,79
5600.11758301579,3150.34322264562,0,0,3,80
5656.0913034497,3390.49535219996,2,0,3,133
5670.76916099773,3274.06802721088,0,0,2,90
5738.28205128205,3141.01983904174,0,0,3,49
5764.86090858104,3678.57038698822,0,0,2,23
5814.1821219716,3460.44221665274,2,0,5,110
5791.76769230769,3077.33153846154,2,1,5,70
5834.19709911362,3359.32989524577,0,0,12,56
5879.14661654135,3576.75413533835,0,0,1,55
5911.20885139136,3228.07859680284,0,0,9,122
5926.52301362818,3107.99485728979,0,0,4,88
5944.64884568651,3461.0324017821,0,0,1,39
5966.68965517241,2869.76769509982,0,0,10,125
5996.60511713933,3285.00092478422,3,0,12,88
5996.38273836421,3549.03795752372,0,0,1,8
6042.70093457944,3077.55176599102,1,0,18,136
6020.1367997524,3190.03961621789,0,1,3,81
6077.32680161943,2903.87724696356,1,0,6,65
6083.91382978723,3427.95824468085,0,0,6,72
6089.34122401848,3346.48903002309,0,0,2,76
6147.11203246295,3250.29481298518,0,0,2,88
6155.06495310872,2876.0329975686,0,0,3,90
6188.09640203363,3003.18615565115,2,0,11,134
6224.2046063203,3353.90599892876,1,0,4,107
6272.16897506925,3181.61337554412,1,0,5,56
6280.19754529515,3006.12565751023,0,0,0,8
6318.74167650531,2853.46540731995,0,4,4,89
6455.31578947368,2853.37236842105,0,0,2,96
6613.40675675676,4127.48288288288,0,0,0,30
6557.38837837838,3011.59891891892,0,0,2,170
6602.10825815406,3105.22033310201,0,0,5,88
6628.79200592154,3242.63860103627,0,0,1,110
6631.01096892139,2988.63162705667,0,0,5,123
6664.05723905724,2879.9859708193,0,0,9,127
