Xpos,Ypos,TMS,C1S,VCL,GAPDH
2367.27364093193,1751.11215166743,283,8,23,1119
2454.44199846861,1151.12691424196,250,7,20,1221
2513.80046322291,1814.73519090399,178,8,21,1097
2439.21115368242,960.447850149,68,4,8,484
2582.19974003466,1437.97790294627,188,3,9,824
2588.25654181632,1560.24320164187,202,2,12,819
2687.04881974249,1541.62070815451,44,2,2,293
2707.43591101695,1639.40519067797,132,3,2,675
2756.05666545587,996.96803487105,126,5,19,655
3081.91434689508,1255.23840114204,43,2,1,268
2817.04514563107,1567.72572815534,36,0,2,382
2830.75628441465,1139.31864974862,306,7,32,881
2947.31117021277,1474.7304964539,63,1,7,329
3007.48638023027,1378.7450154451,82,5,4,455
3071.38841722256,1670.78835657975,95,10,4,307
3239.6878629933,1733.40893521966,594,4,12,1307
3369.7368862778,1637.68778850189,304,4,17,1065
3413.32536687631,1727.31488469602,76,0,7,439
3521.18530911409,1181.66969407266,506,13,34,1927
3600.86981677917,1696.83471552555,113,3,11,766
3567.81068898905,1778.66130070831,54,1,5,470
3694.7131754925,1663.7582685704,53,0,6,410
3702.70601640839,1510.32360984503,229,2,7,769
3715.9630860096,1392.71317829457,293,9,19,947
3745.26355066771,1803.4776119403,84,0,6,506
3753.34512867647,1103.56502757353,379,25,26,1320
3783.57253171539,1711.12355212355,69,0,6,330
3889.4409951095,1628.67446310865,158,3,8,748
3879.36701404622,1011.00135931128,230,3,6,975
3890.53345227475,1856.33154921201,123,0,6,648
4086.18056918548,1559.13837095191,103,8,9,401
4130.06296851574,1462.51174412794,146,3,5,328
4219.72239052603,1420.45469567612,243,1,10,588
4346.64825855036,991.894571697521,127,5,9,736
4357.99753357084,1256.54891751165,312,6,14,624
4480.99861303745,1208.43897364771,218,5,13,707
4499.00986193294,1812.91365329827,452,2,23,1136
4590.75183744055,1059.50021616948,116,4,11,665
4623.3621751026,1657.23974008208,241,9,13,911
4705.84791666667,1089.80347222222,271,7,6,840
4700.15889758421,1051.04542361347,25,0,1,56
4807.92082276698,1058.54635108481,451,16,13,1085
5021.81707886141,1443.49541141702,870,20,20,2110
5148.0248447205,997.083850931677,479,12,14,1147
5341.43700094735,1108.56254793161,768,21,17,2278
5227.18406072106,990.374446552815,120,1,5,626
5267.54988001371,1613.7867672266,603,5,18,1966
5351.19063975955,1829.75096607986,155,7,10,642
5445.7941923775,1330.3335753176,514,10,19,1471
5466.01769285209,1433.16348195329,162,6,13,945
5533.50215455329,1609.3895432347,157,2,2,780
5882.76091954023,1277.59923371648,105,2,13,476
5701.04396728016,1710.75187457396,108,6,3,435
5739.71235521235,1869.72393822394,73,4,4,367
5793.74476439791,1446.46378708551,255,7,3,771
5794.37042682927,1232.68292682927,421,8,10,874
5821.54466441333,1079.03138580396,192,8,9,796
5842.93136160714,1862.26171875,174,4,7,643
5907.69582850521,1153.0527230591,58,1,5,359
5957.66585721224,1566.50072850899,236,7,5,786
6001.2601663586,1679.3123844732,105,1,4,374
6061.39563567362,1185.40370018975,128,5,2,555
6095.81300364279,1339.57511866652,182,5,21,1036
6111.75853537853,1656.75952498763,165,3,2,613
6203.30800201308,1008.80171112229,15,0,0,495
6223.71643222506,1438.90121483376,187,8,13,847
6337.48185971513,1346.10104810535,48,0,2,503
6347.07348384241,1074.69278441788,46,2,1,750
