Xpos,Ypos,EGFR,C1S,VCL,GAPDH
35164.7495459132,41.4754793138244,5,88,13,496
35168.8574215819,981.671619390665,4,47,10,221
35133.9966120836,659.846132128741,5,62,9,259
35161.2471626734,834.22131147541,0,67,11,279
35251.2614512142,655.164752072124,5,103,13,292
35240.1911159263,280.817984832069,9,134,7,451
35251.2910176532,798.515057113188,4,89,25,295
35349.3108439647,161.140578999019,5,108,9,438
35368.8546202225,432.978713110789,3,174,5,520
35414.7525909177,878.159600527605,4,87,19,248
35388.7436548223,749.802030456853,2,83,9,363
35418.6828042328,587.61455026455,6,122,8,470
35434.312363953,296.70396168916,5,132,7,400
35455.2711779449,117.411779448622,2,132,15,585
35494.9152298851,974.968151340996,6,139,55,597
35530.1495098039,855.039624183006,5,69,3,328
35549.159237836,211.433480775774,3,128,9,342
35576.7975332068,670.004554079696,13,84,52,493
35602.3154411765,299.077205882353,8,143,19,626
35599.5097791798,841.72523659306,9,86,63,464
35631.8981623277,436.540581929556,10,177,33,533
35709.7717446809,674.461446808511,2,163,33,590
35780.0427184466,125.493203883495,10,183,112,994
35770.6917104934,470.992236413724,6,111,17,433
35809.3761441648,877.064931350114,3,130,18,472
35827.8448747153,592.779726651481,8,173,24,403
35842.1419508327,456.379857256146,2,93,32,590
35895.6282003711,877.989981447124,2,71,46,431
35936.5946999221,141.114964925955,6,206,22,904
35973.4567481403,462.962380446334,9,88,52,448
35979.674031477,961.915859564165,8,145,34,689
35988.673151751,735.008081412751,12,95,83,667
36015.784737221,312.355891528678,4,154,10,513
36041.8364714986,810.233685839567,18,84,52,358
36105.570123344,488.296253997259,8,142,53,454
36110.5261948529,224.984604779412,5,147,14,418
36179.4249284413,583.84387197502,4,127,41,611
36193.9894606324,695.946373217607,3,86,25,388
36213.6332350049,879.527368076041,7,106,24,409
36236.7860177675,756.412900733874,1,53,34,322
36251.373992838,394.458818263205,11,158,27,722
36259.3923698134,60.3937621832359,7,118,19,751
36339.8078541374,784.126507713885,2,101,39,398
36360.7710725629,197.660640117273,10,292,62,1212
36437.0092619392,887.80492040521,2,79,10,220
36452.8474285714,628.058285714286,1,40,15,332
36467.8147286822,531.995348837209,4,156,38,719
36586.9526400645,384.003022974607,19,140,129,843
36588.2205495818,38.6413381123059,11,165,84,702
36774.5342778793,868.941956124314,3,136,7,290
36779.1056160939,500.409611623359,6,131,41,521
3139.51267916207,1209.82138919515,0,21,0,22
3344.19626510436,1168.51629439766,8,127,19,157
4004.28596491228,1770.92481203008,3,19,24,175
4354.19704293432,1446.43247085584,3,44,10,170
4814.98683092608,1848.93670348343,3,17,27,192
4866.77917133259,1754.28264277716,4,17,23,45
4969.78683454827,1457.83344378175,8,45,75,291
4987.81356338366,1811.91900311526,6,30,44,341
5073.34316916938,1375.30106059015,10,43,106,353
5235.87511177347,1828.7695976155,4,21,82,319
5291.99738448126,1731.54635280442,5,25,90,231
5355.89492086861,1536.06247699669,11,84,127,565
5707.11969241057,1627.81143430291,0,2,4,18
5703.95685724307,1520.37986671343,0,7,3,23
5805.26519052523,1197.68743563337,4,69,27,267
5809.946025878,1863.24066543438,1,11,4,105
5957.5391634981,1010.70836501901,9,77,21,204
7376.15442466784,1755.64778139885,1,27,3,134
7936.59936908517,1673.28916929548,0,101,9,213
9273.42060762396,1861.64044138722,2,3,4,125
12658.4649564819,1886.97274393037,1,50,10,134
12990.2874167543,1630.50368033649,0,1,1,76
13001.393559322,1733.80745762712,0,45,3,125
13450.1647883034,1406.49741090466,5,21,11,76
13523.202722699,1256.98668245043,1,16,11,135
13714.9121621622,1461.26315789474,3,10,8,89
13721.5673216885,1580.76055312955,12,13,14,88
14042.2878818946,1595.48985031782,6,15,4,77
14170.4387835703,1257.5205371248,0,30,3,135
14192.3563850688,1719.47308447937,0,22,0,90
14642.8026370004,1261.35393489905,2,70,5,195
14642.3273972603,1004.23424657534,1,56,4,99
14660.6243362832,1122.52389380531,0,79,7,139
14739.3260776782,1246.10456679471,0,11,2,62
14723.527809743,1637.75987725355,1,28,2,91
14961.2801691007,1001.66717909301,3,13,6,124
14965.5054205607,1665.75102803738,0,11,3,62
15372.4063943162,1686.61361752516,13,140,18,557
16182.0274089936,1551.63797287652,0,22,3,163
16317.7560652845,1490.69519188355,0,16,4,157
16345.0765391015,1200.72612312812,5,23,9,129
17105.7754452926,1584.1762086514,2,15,4,103
17648.8075734158,1333.67465224111,4,32,7,191
18448.8810077519,1307.60503875969,2,77,7,176
18451.5135236664,1439.40308039068,0,37,5,132
18715.8006093433,1860.26506431957,0,18,1,130
18852.4129491945,1500.89591078067,0,11,7,193
18911.5356106993,1647.51530776668,0,12,3,95
19386.8804347826,1885.18103448276,0,9,1,49
19658.7661671924,957.842271293375,0,20,4,105
19675.0500753012,1693.30384036145,0,20,1,48
19878.5001910585,1075.00152846771,0,34,3,132
19914.8394908414,1500.07761564731,3,18,18,135
20015.6853932584,1446.7543071161,8,167,90,574
20229.1901272657,1367.51099112997,1,15,3,78
21161.4032825322,1297.62016412661,1,44,25,312
21610.3776753864,1413.36489298454,0,34,3,101
21621.7565276365,1691.98440149203,0,32,2,297
21983.5253477953,1379.7250648432,1,51,2,98
22260.6047468354,1648.58132911392,0,8,1,8
22330.6253263708,1557.34627937337,0,21,2,35
22601.6662162162,1226.28716216216,2,46,10,50
22869.5510842835,1912.7386541471,3,39,21,125
23069.8986602542,1425.1672964617,3,35,3,144
23241.9206875754,1713.71351025332,0,10,7,248
23703.8456659619,1725.90239605356,0,5,1,53
23793.0366612111,1301.37643207856,0,52,6,175
24110.6792497626,1723.40954415954,0,21,1,51
24497.7508928571,1620.88571428571,1,29,2,102
26160.5122404187,1248.00759750127,0,172,10,706
27109.8119282839,1679.30552506403,0,2,0,63
31580.0903246545,1788.10028929605,11,154,32,448
31624.9474442045,1682.51439884809,1,168,8,328
32964.9171405361,1710.96588139724,0,19,0,45
33160.6951078136,1791.53443079063,0,14,0,69
33641.3323477232,968.076286221171,10,97,68,622
33370.9010989011,1091.38638147567,7,136,142,1121
33407.8165514665,1695.10741640202,1,17,1,8
33476.6440559441,1789.12727272727,1,17,0,11
33568.5549940867,1576.62025588646,0,34,0,27
33796.8040146773,1252.00539607166,12,239,120,1303
33902.5389822596,1142.98412698413,26,116,166,903
33999.1849959117,1483.4480784955,17,254,110,1003
34057.4278688525,996.220491803279,3,64,37,570
34058.269800148,1159.24463360474,12,127,90,656
34136.8883826879,1221.60876993166,7,175,36,864
34220.5837241379,1802.208,0,53,0,58
34259.9962165309,1129.3434225844,4,82,15,620
34292.2316428432,1519.39357744273,7,177,51,885
34301.3982808023,2015.61318051576,0,0,0,13
34364.7300404514,1181.67958271237,2,119,21,681
34505.0514245391,1300.43609420482,2,123,14,387
34513.464604811,2129.58453608247,0,10,7,44
34523.978105664,1514.07639219419,6,106,55,896
34571.4264009963,1034.1900373599,5,165,36,742
34566.6934097421,1206.13992359121,5,153,20,509
34640.9109867752,1175.83418107833,2,83,18,475
34682.4635833153,1528.40112383834,7,130,35,475
34730.6862971517,1329.24839620221,12,178,38,791
34775.1887562814,1863.34861809045,7,133,14,594
34762.9778117827,1205.42387146136,5,154,33,648
34754.4352836879,1110.32653664303,9,101,64,592
34792.4225516972,1508.52789699571,0,51,19,638
34915.9044746104,1345.57315233786,8,138,54,988
34949.3313782991,1061.03958944282,6,179,14,845
34971.7376257545,965.303018108652,0,68,11,354
35024.4548975311,1261.38567048572,11,129,16,569
35131.2372631579,1248.29515789474,7,227,90,623
35163.6507880911,985.105429071804,2,76,10,336
35139.281573937,1762.54030040195,0,191,10,525
35173.4996635262,1446.149730821,1,132,33,861
35333.8792694497,981.610056925996,6,97,61,470
35325.2489594173,1145.68548387097,2,195,37,800
35401.4201030928,1353.48582474227,9,160,47,646
35493.0925289824,1416.74753112924,10,186,52,794
35549.8370706784,1137.79875106443,5,128,20,649
35602.2294460641,1505.29854227405,23,179,96,966
35647.2044282681,1105.30209281165,7,149,24,571
35650.214187643,1841.7643020595,8,80,33,427
35673.6740506329,1633.194092827,0,141,27,603
35743.6821544836,1892.83131103877,10,155,34,434
35765.2879980325,1231.2889818003,12,159,71,784
35795.821968692,1071.22711594587,9,124,60,706
35879.0527928353,1331.92929530992,14,208,53,680
35988.1611570248,1197.25,9,56,14,471
36163.5636913767,1414.33903177005,3,146,21,476
36252.5315156375,1297.89799518845,3,79,13,245
36319.6601752678,1355.42680947744,0,42,4,239
36310.9266585514,1586.58977480219,2,79,26,258
36406.8715998156,1521.571461503,6,152,33,462
36436.6588829284,1012.92395077311,5,147,11,575
36421.6518883415,1276.53475643131,7,208,18,657
36443.832996553,1656.70925947938,8,159,87,756
36652.7832629356,1675.32629355861,0,52,6,175
36736.1875372689,1022.24060822898,5,194,14,458
36901.1370138018,1138.17139272271,8,150,13,540
1507.4041174228,2111.74609226077,0,8,1,87
3160.36492248062,2691.56036821705,12,83,9,148
3601.51560693642,2000.56849710983,7,49,17,75
3605.26634214186,2112.99119146963,4,28,27,80
3882.40916271722,2004.21063717746,9,15,71,208
3941.11477071193,2097.18216366861,4,32,111,357
4013.28345959596,2635.4577020202,0,5,2,24
4219.5663839363,2139.4363856673,5,30,75,391
4309.9685138539,2388.47103274559,10,19,46,211
4544.3229470951,2429.0582603051,3,22,90,322
4515.83936106088,2028.18173598553,5,56,99,733
4857.62920994649,2455.21466792572,1,21,25,247
4928.18395904437,2537.97098976109,3,10,22,170
5185.95204471904,2164.350985584,8,40,142,760
5294.85407066052,2095.17153097798,5,25,140,499
5494.1626425218,2683.08886653253,1,4,1,16
6267.09306930693,2341.17854785479,0,36,6,180
6368.95857497929,2725.40472245236,0,21,1,71
6401.6909027046,2332.96628029505,1,33,8,158
6572.09996125533,2132.74932196823,0,27,2,139
6860.52061068702,2321.75992366412,0,39,6,179
6943.44659825162,2372.69479285443,0,18,3,112
7576.40308001339,1999.74221627051,0,8,1,112
7639.3007518797,1915.42857142857,0,6,2,92
7679.18673469388,2029.3806122449,0,6,3,82
7949.64933530281,2715.63692762186,0,38,25,225
9373.11869611433,2305.43545529704,6,41,6,215
11418.8001730104,2592.14475201845,1,7,0,65
12656.0096774194,1895.58240469208,2,56,7,88
12825.5073121533,2232.17851739788,1,61,7,108
13047.7145581691,2180.94278448824,0,9,0,58
13347.97945708,1888.10528246515,4,20,3,119
13735.352638124,2199.08989163262,2,47,8,167
13837.537366548,1977.66903914591,14,96,21,214
14058.9720682303,2321.40277185501,0,45,2,88
14338.6543556804,2706.78321959053,1,16,1,75
14343.0341846758,2578.64872298625,0,7,1,48
14388.3352291736,2261.14653730345,0,55,4,142
15048.4631746032,2264.21587301587,0,9,2,122
15234.1587598835,2653.04952143154,0,10,3,119
15288.2362551052,2463.10461828464,7,151,20,532
15371.3658536585,2686.6393728223,0,9,6,101
16741.7992383672,2264.57919790551,4,60,6,195
17482.2464052288,2175.73529411765,0,33,7,133
18815.8745945946,2105.61081081081,0,33,7,146
19392.1403712297,1896.7650812065,1,6,2,43
19492.5081736189,2280.42643742954,1,18,3,187
20375.5482815057,1951.19767230406,3,11,1,128
20578.8883260974,1894.35262904004,0,18,4,140
21257.7058033466,2502.57462644804,9,68,10,277
21468.7076222981,2694.88737201365,0,11,2,82
21589.064302287,2723.37520715943,3,14,2,62
21676.1245100995,2521.23424781429,0,16,2,107
23184.2773413057,2316.38037961482,0,11,1,58
23155.5807248764,2366.68327841845,2,21,3,66
23193.1492502066,2293.15373715905,0,25,1,112
23386.8065385912,2018.09066397034,3,34,8,305
23561.5161967606,2075.42891421716,4,61,9,200
23791.5660048763,2547.86485545106,0,20,3,112
24661.405350491,2859.15865221808,2,97,20,114
25147.9152941176,2748.8443697479,0,12,1,55
25523.1012797075,2024.3268738574,0,76,12,132
25671.2748452858,2562.91736439752,0,6,3,31
25813.6309837919,2737.89031285337,1,47,4,87
26231.7898916967,3127.30469314079,1,1,1,16
27804.1096589098,2623.49984061205,0,17,2,74
30223.5100125156,2151.54224030038,4,16,9,90
30301.2683008731,2031.99664204164,2,27,5,108
30953.3337777037,2791.35910681553,8,97,13,178
31025.3784676354,2695.13870541612,0,5,2,125
31065.93622142,2759.79783393502,0,41,5,92
31187.9129901961,2461.47875816993,3,53,9,248
33631.7145938174,2013.14953271028,2,44,3,81
34424.4171779141,2025.49474145486,1,1,0,9
34499.1485200846,2031.27272727273,0,7,0,26
34306.4029643353,1911.00741083835,3,16,0,31
34458.6172316384,2027.60310734463,0,3,1,11
35197.4241733181,2787.38616495629,1,56,17,292
35190.8344525547,2642.48583941606,5,51,26,350
35201.8885801612,2784.67213114754,1,78,20,468
35361.8377046295,2569.98415771871,4,48,47,700
35506.0557423465,2570.13484339055,15,81,101,551
35724.9395184968,2715.54638872578,9,208,58,978
36020.2656950673,2384.10594170404,2,113,5,365
36043.6295058487,2636.84554786345,8,143,10,818
36042.4400275735,2507.25712316176,5,194,30,526
36284.0342024448,2788.02149695911,4,61,16,150
36259.8756527662,2772.36547339741,1,48,24,355
36226.6851211073,2632.36974789916,1,162,34,841
36337.8874017065,2611.73080140539,5,295,36,786
36368.893308746,2843.82139093783,1,159,8,558
36599.1221238938,2508.31969026549,2,72,8,168
36642.6114649682,2740.60264576188,7,203,27,970
36718.6676447053,2722.18991731128,3,32,14,327
36750.8848764594,2528.24843877274,8,265,35,814
36808.5216244726,2622.65532700422,2,44,10,332
37047.2577092511,2529.04331864905,3,49,2,102
35.1741892343698,3565.87796723504,3,24,3,51
1899.07796072208,3357.46697083912,4,128,41,182
2360.49443259891,2971.38474295191,14,61,18,76
2566.9830641985,3268.66994879874,0,10,0,21
3946.09780865847,3102.71031533939,0,0,1,30
4938.57986678396,3213.58816136735,0,15,51,139
4869.65692204301,3208.75974462366,9,28,94,185
4977.29740406321,3216.60985703537,4,25,55,112
4981.87854381443,3502.92719072165,5,43,22,281
5950.85172903837,2965.73945997158,7,43,69,183
6230.73430656934,4102.47737226277,8,92,142,1103
6439.46767721801,3741.92298261257,4,136,17,253
6717.03209348255,3417.71955233706,1,67,81,535
7098.99339207048,2891.43618287891,68,200,321,2129
7773.49393069962,2955.97638490399,1,3,10,160
7755.88749635675,2948.8327018362,4,31,52,545
7806.63745236799,2959.078933043,3,15,28,271
7929.49171518137,3171.02866099418,2,100,83,785
7971.9456969697,2858.47078787879,1,30,60,495
8192.65908056441,3640.51934456076,33,137,158,1535
8607.98166853722,3452.38683127572,0,6,0,31
9208.3591518823,2842.15361315448,14,52,12,81
9253.73798910352,3685.98613174839,1,22,5,96
9359.72352568167,3621.8522511097,0,8,1,13
10365.807385114,3269.13821044102,5,32,12,352
12670.5358223499,3309.67577824504,23,50,60,291
13078.736922641,3534.80544063474,1,20,10,61
13101.561906966,3213.09581115483,0,29,6,56
13258.5503627828,3037.16261203585,0,16,1,73
13352.0468277946,2988.09322399655,0,19,12,57
13567.656098635,3395.77675033025,1,32,4,71
13599.0306009416,3235.51509277209,2,24,4,69
13816.7380178716,3541.26360682372,1,64,2,94
13972.4501146302,3169.19886218901,1,17,2,87
13961.6354183079,3240.56105246573,2,26,6,167
13984.4000664562,3093.34490779199,1,16,6,224
15298.179245283,3339.25870827286,0,28,2,98
15324.9788497217,2927.07495361781,5,65,7,220
15408.3267657993,3258.04237918216,1,37,5,108
15528.7920223244,3358.71536441234,1,191,9,410
15734.2571319894,2975.90338531761,2,47,5,114
15834.3665239115,3566.0249821556,1,16,1,60
16125.5561422034,3310.79760647659,1,36,5,77
16209.8547650131,2911.96768929504,5,43,5,142
16216.3280767912,3185.57250599931,0,26,10,79
16283.0044876589,3260.69035153328,11,35,10,92
16335.5405198777,3517.3501529052,0,20,3,34
16849.2583936801,2984.15931533904,0,32,3,112
17052.0609032258,3084.86993548387,0,9,2,98
17276.1884833228,2929.75204531152,0,27,1,89
17633.4450025113,3060.70015067805,4,25,7,118
17970.0601236476,3609.7972179289,3,16,6,167
19064.0433386838,3876.02006420546,29,61,27,1639
19710.0076835515,3369.65054069437,0,52,6,144
19898.0141908213,2831.69202898551,4,83,7,240
20900.1271050521,2971.52886928629,7,70,15,165
21003.9433962264,2985.14452027298,8,36,11,148
21283.7840650407,3197.8162601626,0,13,3,90
23832.9545117429,2928.73671199011,1,63,10,155
24411.0616983821,3672.77039148294,0,22,9,80
24424.7488677958,3660.6509709039,0,39,6,22
25550.5724275724,3428.00732600733,1,25,3,186
27403.2122641509,3137.04166666667,2,10,2,35
30802.8035923467,2944.20109332292,0,113,3,240
32362.16604378,2920.59369994661,0,20,4,150
32436.2609879424,2830.01439128744,1,16,1,78
32638.08769107,3574.6399839099,0,8,1,64
32937.7688513037,3495.56236786469,0,3,1,65
33120.1094488189,3561.64015748031,0,8,3,113
33931.176154064,3188.930048145,0,42,10,63
34368.8964565117,3039.5453290382,0,79,3,132
35078.9962246343,2853.06606890042,0,72,14,443
35139.7263513514,2932.26951951952,6,101,50,584
35146.3089235694,2927.78591436575,2,15,17,163
35908.4371957157,3071.52775073028,7,161,48,1182
36030.5837197321,3087.03334069331,16,336,62,1621
36103.6235845373,3682.50292854354,0,14,3,148
36296.6034985423,2901.27530195752,2,82,35,545
36340.3957518167,3002.11151481274,3,221,34,1263
36625.1211408133,3109.72543298193,19,286,40,1318
36925.3013664596,2853.85291925466,7,184,9,369
37047.9161237785,2944.00081433225,6,46,11,147
37048.941563786,3868.95308641975,0,11,1,36
1321.82378187326,4263.57485483464,1,43,16,17
1590.8961899503,4165.76200993926,4,99,58,108
5387.24755780883,3863.84530728329,2,181,26,356
6027.7501227295,4433.96612665685,0,4,1,34
6183.72400379507,4217.47713472486,1,38,82,562
6245.63773717498,4515.05375966268,1,33,5,87
6314.85243603225,4462.11111111111,1,22,4,104
6346.98897849462,4228.68333333333,3,69,98,351
6402.21945309796,4299.78366216684,1,77,74,621
6679.87447447447,4256.80630630631,0,15,3,39
6980.97805755396,4323.72697841727,1,45,92,195
8085.32755632582,3789.36626227614,15,98,92,1162
8981.17873190215,3745.8736894658,4,51,10,117
9577.05072327635,3819.40484689085,0,12,3,80
9623.22355357754,4647.8223211229,3,41,8,133
10162.9301950958,3802.7417218543,2,44,13,92
10206.3994047619,4645.85327380952,0,22,11,223
10477.1277235162,4784.81066867017,4,16,72,444
10544.0209394454,4780.88681380872,4,47,86,707
10420.8097593142,4598.33399274646,1,13,43,269
10546.8212385614,3987.14343477336,1,41,0,47
10636.0207606973,4567.68082408875,7,38,151,474
10823.7212067826,3804.63730455847,0,61,5,63
10896.4035631294,4636.40278853602,2,38,15,421
10981.0460927961,4616.77777777778,2,22,23,546
11515.2166572876,4655.98424310636,3,92,61,1099
11437.9575805185,4838.82796543598,5,3,7,3
11546.59514377,4700.66875399361,2,12,10,33
11971.5821256039,3850.94384057971,0,19,1,91
12390.1320936197,4112.12600192369,0,29,3,64
12443.0251200591,4432.96490579978,0,19,5,83
12622.2657293497,4280.21089630931,0,12,2,38
12686.8397790055,3799.91692975533,1,89,8,135
12849.9410834322,4023.42763938316,19,111,15,92
13209.4980126257,4602.43558569091,1,2,3,80
13295.5616779239,4243.93672236047,0,14,3,53
13438.2664847658,4610.62391996362,0,11,2,67
13683.1100640784,4538.47003392386,3,40,4,52
14290.0856709629,4413.17816527672,0,17,1,58
14544.9764203907,4401.29620480575,0,23,7,96
14591.8126361656,3818.6862745098,7,49,8,73
14635.7130620985,4449.87886203732,1,23,3,132
14687.3176435761,4763.01420959147,2,21,11,171
14794.3563791875,4609.85792349727,1,43,9,162
14854.48,4318.80140350877,0,32,1,121
14983.6522252855,4662.02481291847,0,29,2,189
15056.3207983801,3903.68064796066,1,20,6,128
15363.4833217512,4509.62404447533,2,33,2,106
15408.7096774194,4372.13588709677,0,45,5,141
15443.3080701754,3890.52701754386,0,169,23,579
15492.5847826087,4346.1,0,36,4,108
16406.9442446043,3951.08848920863,5,73,8,199
17253.7621870883,4382.76877470356,0,2,0,33
18618.3864249904,4500.73351330505,3,5,4,28
18679.6444,3817.7612,0,7,5,302
18790.8498736918,4135.3576326236,6,15,10,211
19105.0689948893,4163.60093696763,0,11,5,179
19439.9207585506,4141.84321029462,1,37,12,197
20077.934213198,4547.23614213198,5,70,18,195
21019.8643520388,4466.23253936213,1,44,2,96
22762.1210916799,4271.95548489666,0,71,1,159
23160.6959503592,3929.76126714566,0,16,0,84
25499.6271326362,3997.3670886076,1,108,7,198
26665.3679342241,3988.10825625214,1,43,5,165
27365.0937834941,4475.9793676313,1,11,5,238
30230.0078431373,3867.76107480029,6,44,13,303
33407.6583616459,4417.20951302378,7,16,7,104
33620.7013835511,4069.60107609531,0,19,6,166
33809.2455845248,4436.76745164003,1,12,1,83
34010.3716613852,3999.86079674061,0,22,12,208
34635.3329395883,3784.68140398245,3,45,6,63
34720.0746634027,3979.64932680539,2,60,8,70
35312.1372059872,3835.988595866,1,17,3,57
35946.3963239518,3838.46697300402,2,59,7,332
36658.8221421553,4375.57418932198,1,11,2,39
36775.9040217602,4136.81970079658,1,39,2,126
413.412427745665,4764.17687861272,0,3,3,30
568.472873769024,5353.53339301701,2,123,22,201
576.436086755884,4921.2358098754,3,126,44,196
1328.27872088433,5411.16896960126,7,108,65,284
1732.36262350221,5364.42821105739,2,209,49,453
1747.82152074648,5122.80067500496,7,175,71,524
2263.04526080779,5490.51857113862,3,112,15,330
2744.57475688817,5222.5852917342,3,211,71,679
3105.82643631981,5398.41904379269,3,115,46,313
