Xpos,Ypos,EGFR,SOX10,CCNA2,GAPDH
13899.4717247879,1122.26720075401,3,18,15,309
13919.8090846995,1757.7575136612,5,17,8,164
13951.3096491228,1458.77368421053,8,60,79,417
13994.9286780066,971.801253357207,3,43,59,161
14108.4408402842,1812.78251467408,9,19,24,265
14329.5547768351,1026.34267797861,4,26,16,260
14393.5010726325,1444.41679436102,10,63,43,471
14389.022327791,1655.88361045131,2,27,21,174
14396.6913776647,1157.58638243716,2,71,29,496
14456.8488451087,1215.64945652174,7,56,22,358
14484.3761220826,1567.94658886894,8,6,7,210
14583.8549417512,993.197294250282,5,41,18,408
14631.0037159372,1661.0313790256,3,71,2,301
14766.0980645161,978.85935483871,0,22,21,297
14781.9220737913,1829.36164122137,2,14,34,255
14792.1275100402,1180.37751004016,1,22,3,250
14884.1589840075,1030.97695202258,1,33,3,268
14897.4150712831,1523.61262729124,1,21,8,256
14957.5414728682,1184.96899224806,6,65,4,329
15007.623498864,1795.96559558585,8,12,25,247
15014.1647421093,1417.70823710547,3,45,20,225
15020.0189456343,1599.60831960461,1,43,16,296
15069.0154905336,973.15834767642,7,78,25,449
15161.9198837692,1355.87546699875,1,59,19,262
15197.5884305358,1634.50877192982,0,15,7,131
15286.2337728195,1705.49949290061,0,16,16,199
15324.6950485886,1275.22535863026,1,38,22,231
15385.4662095984,1831.07786483839,1,27,26,179
15514.1394864677,1559.62838306731,8,83,18,317
15724.0375245029,1646.2360683282,3,21,20,257
15804.0744680851,1828.91531914894,1,28,13,217
16510.6367249603,952.234499205087,6,9,26,247
16776.2622194897,1853.25514909314,2,27,22,361
16872.427922815,1182.31630722664,0,29,9,287
16996.4461962948,1251.17895151754,1,47,3,377
17023.1380208333,1836.21744791667,4,32,21,344
17139.1608846487,1299.88855160451,2,33,11,282
17235.7936590437,1000.38305613306,1,4,7,237
17255.6809716599,1578.00607287449,0,35,1,404
17382.1531760436,1467.87259528131,1,22,8,328
17500.2065481002,1342.73524656427,1,10,14,274
17525.5443703964,1688.42932304455,1,29,19,224
17613.3584795322,956.845614035088,9,46,4,256
17684.4051762606,1711.46184738956,0,15,0,258
17757.5119950789,1527.28542136559,5,71,45,340
17809.8105711245,1414.53068463994,4,27,8,263
17859.1436630312,1256.07935314028,3,72,4,356
17862.8893787575,1052.3619238477,1,104,3,577
17992.7954261954,1514.06444906445,0,45,9,237
18243.3873212215,1306.81754928489,1,71,1,484
18298.6837827854,1504.11230144071,1,60,4,575
18425.0475859673,1825.04758596735,2,40,32,359
18507.7680021657,1186.57606930157,4,54,56,396
18534.8177233429,1356.70569164265,3,55,5,412
18546.9935798665,1712.37878787879,3,11,12,200
18602.0605583956,1557.48682658278,1,21,0,244
18622.1390179164,978.982415394824,2,23,19,311
18771.317232376,979.76272845953,2,42,23,217
18809.3214756258,1598.79754062363,2,38,0,268
18817.8445929816,1421.53735975173,12,54,62,404
18953.7144954128,1364.21467889908,1,18,7,223
19094.1774659513,1467.83862979777,1,82,7,491
19125.1604938272,1828.61886672998,4,38,50,243
19208.1367231638,1713.42372881356,10,32,31,346
19289.6336681014,1392.01697752272,4,79,99,724
19376.2927207021,1689.07227671657,5,37,4,388
19461.0584551148,1239.57620041754,6,43,18,185
19523.100744945,1617.22064561901,4,33,2,137
19674.1859974694,1249.23323492197,11,38,53,556
19792.5410222805,1428.83250327654,14,30,35,565
19828.1052857757,1039.29522990976,2,20,1,213
19925.3807045636,991.742193755004,7,35,23,500
19941.167080525,1679.0372472508,0,19,12,257
20059.6434651978,1298.60140210315,0,48,36,213
20097.037704918,1579.27663934426,6,37,9,291
20183.2975738088,1140.38380590471,5,60,60,463
20303.8460874568,1708.91455696203,1,27,27,234
20460.0619872379,1578.62944393801,1,34,9,194
20568.4818456884,1504.28240040343,6,78,43,311
20586.0107784431,1306.56407185629,4,41,21,298
20613.6205176177,1783.97162457125,6,5,24,215
20683.3086133642,1101.32213209733,7,50,13,508
20739.3394787031,1575.89478703115,21,70,28,355
20821.6429980276,1337.17324128863,1,68,30,407
20896.318134715,1066.08946459413,6,39,27,463
21109.7835990888,1072.21998047511,9,76,13,997
21136.2682821289,1325.46819558633,3,39,4,455
21223.5099804305,1453.32720156556,7,33,17,393
21270.0160142349,1226.5293594306,3,49,1,452
21359.0343279641,1291.80274623713,9,69,27,335
21405.8806112703,1084.79656160458,8,34,19,376
21411.7333802321,973.242349630672,0,38,27,280
21444.1262857143,1421.89371428571,8,74,24,296
21535.4446978335,1375.28392246294,3,36,18,303
21668.9803266518,1715.15441722346,5,28,8,246
21707.5652022315,1420.23779637378,6,87,7,332
21799.7832348597,1056.68537666174,3,56,2,617
21803.3674698795,1480.84713855422,5,30,71,346
21917.3015372487,1779.53882538431,4,44,0,227
21972,1396.55275134464,0,12,45,259
21989.4092318291,1634.27523251808,6,75,12,446
22051.5962309543,1103.49398556536,3,68,4,572
22189.5812772134,1239.03410740203,9,61,7,459
22212.6020761246,1506.36505190311,4,55,2,291
22255.7973447872,1752.54666146037,1,33,0,201
22496.685840708,1726.00245821042,4,24,0,126
22605.2913533835,1631.80686090226,5,46,0,146
22620.4391124871,969.045407636739,1,34,1,151
22817.2992207792,1779.97402597403,1,23,0,185
22871.5095307918,1260.12280058651,2,43,1,235
22985.4334523202,1856.84038755737,0,28,3,430
23158.6413110699,1515.72943722944,2,29,17,351
23221.7659024863,1776.9321924443,3,11,1,160
23231.7917098446,1263.71537132988,5,37,12,454
23254.6562617525,958.631064309891,3,95,48,476
23305.7064748201,1683.15827338129,5,4,23,160
23520.0384083045,1818.25916955017,5,16,27,169
23541.1103706789,1684.44439816743,2,18,21,214
23582.2544476624,1589.28382292098,2,19,14,224
23575.8931144916,959.140912730184,8,38,32,399
23638.8269726059,1130.88199484898,2,69,73,599
23651.443989071,1310.28210382514,6,67,52,334
23712.4973421927,1712.91362126246,5,35,36,275
23731.4964766176,1411.82351057015,8,62,40,331
23764.7134559535,1847.86592449177,4,12,15,304
23829.8881247134,1557.74461256304,1,47,32,181
23889.7055857254,1710.01474010861,2,13,16,179
23969.277302944,1587.05698005698,0,35,32,163
24032.7380512279,1384.34407182466,6,68,38,333
24037.3660130719,1101.01385620915,5,46,43,666
24051.3315148972,1737.27150650441,4,18,0,132
24108.757214842,2140.83188273019,2,17,7,157
24135.1926046323,1863.60666395774,5,27,24,330
24155.1511144692,1484.47185493011,7,51,9,304
24192.6551378446,2255.07067669173,3,26,8,178
24319.9688041594,2049.98336221837,8,38,20,303
24372.3834762276,1503.2236944661,2,57,16,265
24378.4702750665,1140.34605146406,4,62,40,382
24446.7506702413,1285.04825737265,3,50,41,299
24476.66359977,971.163312248419,5,39,23,652
24495.9430783242,1605.55418943534,1,53,5,243
