cellID,Xpos,Ypos,EGFR,SOX10,CCNA2,GAPDH,WNT5A,PDGFRB,PDGFC,SERPINE1,NGFR,NRG1,FOSL1,VEGFC,AXL,MITF,LOXL2,RUNX2,FGFR1,JUN,VGF,cluster
1679,31722.9902314397,11921.4048692516,15,18,0,402,7,15,0,33,7,3,0,1,17,2,48,0,5,0,0,cluster4
1682,32091.3069651741,11580.3895522388,10,6,1,933,4,10,2,87,0,4,0,10,66,3,56,0,6,0,0,cluster4
1683,32161.5300362183,11244.1171474959,16,11,11,1033,0,0,0,15,0,15,0,13,109,2,63,0,8,0,0,cluster4
1684,32385.7301959114,11415.5594122658,9,6,1,808,4,8,0,71,1,9,0,1,41,4,54,0,8,0,0,cluster4
1685,32528.3134897012,11635.6048339088,6,4,0,696,3,9,1,90,1,8,0,12,39,3,72,0,12,0,0,cluster4
1687,33136.9737016209,12032.0014885875,3,7,0,957,5,8,0,474,0,8,0,2,45,0,30,0,5,0,0,cluster4
1688,33344.5830527497,12031.2687991021,0,2,0,79,0,2,0,112,0,10,0,4,37,14,26,0,9,0,0,cluster4
1691,34262.3476941748,11989.2800970874,22,10,0,885,5,28,2,158,3,8,0,1,20,3,5,0,19,0,0,cluster4
1692,34273.9826578332,11549.5325409197,18,22,0,796,0,5,0,15,0,3,0,0,39,2,4,0,5,0,0,cluster4
1693,34409.7567408281,11968.8467658759,10,11,0,992,0,15,0,87,5,9,0,4,20,4,6,0,13,0,0,cluster4
1694,34474.7591397849,11273.8868817204,9,12,0,1438,2,2,0,16,0,4,0,6,49,2,16,0,12,0,0,cluster4
1696,34660.4139393939,11594.1377777778,7,3,1,632,0,0,0,5,0,0,0,1,10,3,33,0,4,0,0,cluster4
1697,34731.1389018148,11988.8913448115,10,8,0,288,3,14,1,129,0,0,0,0,19,5,13,0,14,0,0,cluster4
1699,35138.1699192463,12406.9316958277,1,30,0,53,3,14,1,129,0,0,0,0,0,1,4,0,2,0,0,cluster4
