cellID,Xpos,Ypos,EGFR,SOX10,CCNA2,GAPDH,CYR61,PDGFRB,PDGFC,SERPINE1,NGFR,NRG1,WNT5A,VEGFC,AXL,EPHA2,LOXL2,RUNX2,FGFR1,JUN,VGF
1271,37843.7482343166,6636.13003739094,0,129,5,275,34,0,0,1,0,0,0,0,23,28,12,0,11,2,2
1272,38345.7241246633,6566.17006540977,1,45,23,323,38,0,1,0,5,3,2,0,46,19,13,0,11,7,2
1273,38661.2378743146,6994.22184732181,0,56,1,203,24,0,0,1,3,1,1,1,13,3,6,2,1,3,2
1274,38702.5516778524,6790.25637583893,0,94,3,287,14,1,0,1,0,0,0,1,13,83,7,0,6,21,1
1275,39001.9676183844,7046.36664345404,0,51,16,103,100,1,0,26,15,6,0,0,6,6,9,2,8,0,7
1276,39030.8126031013,6792.49884526559,0,82,17,140,228,0,0,36,63,7,2,2,7,1,13,2,9,0,6
1277,39196.491028557,6991.04245640637,0,77,34,178,113,0,0,41,16,11,0,0,33,20,15,0,5,0,7
1278,39325.9481375358,7336.24957020057,0,61,16,104,62,0,0,63,13,3,3,1,47,7,20,2,11,3,13
1279,39402.7224052718,6823.11408566722,0,81,1,121,21,0,0,41,6,1,2,0,0,4,4,0,2,0,5
1280,39519.3038651316,7279.79646381579,0,108,23,95,34,1,0,24,10,3,0,0,35,2,7,0,5,0,1
1281,39665.1432291667,7051.88715277778,0,75,4,154,20,0,0,62,2,1,1,3,1,3,6,2,2,1,7
1282,40509.0778879813,7139.5557176196,1,206,38,466,14,0,1,3,27,2,1,1,96,21,22,2,17,4,5
1283,40524.4345613185,6968.84100824043,0,143,86,317,104,0,0,0,10,3,0,0,63,28,9,0,8,2,0
1284,40608.0238540692,6808.20322731525,0,243,66,315,21,0,0,1,1,1,1,1,48,43,8,1,7,0,10
1285,186.413091443981,7814.3696984555,0,293,9,490,50,0,0,1,13,2,0,0,33,44,9,1,9,7,18
1286,352.682083029862,7658.07246904588,0,101,2,450,54,0,0,1,9,7,1,1,7,84,15,1,23,10,17
1287,367.552571860817,8274.14145234493,2,52,5,258,51,3,0,1,48,4,2,0,13,62,23,2,43,5,4
1288,530.9736632083,8329.62490023943,0,95,5,272,15,0,0,1,36,2,0,0,16,78,18,2,21,8,3
1289,564.97216828479,7492.15598705502,0,101,1,145,4,0,0,0,0,2,0,0,6,21,4,1,4,0,2
1290,651.860883797054,7505.9956355701,0,103,0,164,3,0,0,0,3,0,0,1,7,30,7,1,13,1,6
1291,766.247972190035,7774.56025492468,1,109,1,147,3,1,1,1,3,1,2,1,7,34,9,1,6,1,3
1292,783.870808136339,7694.52281473337,0,100,1,188,8,2,0,0,4,2,0,1,7,25,7,0,5,5,2
1293,1353.55583437892,7672.79203262233,1,321,18,353,91,0,0,4,43,8,0,1,21,52,16,1,22,6,4
1294,1585.09249454998,7451.43880411087,2,200,12,435,230,1,0,2,112,78,0,0,46,100,15,1,42,8,6
1295,1835.22278641701,7887.38495715646,0,206,7,316,24,1,0,1,9,3,0,0,7,19,13,0,26,9,1
1296,1987.02790279028,7669.7401740174,2,212,6,359,12,0,0,0,6,3,0,0,12,9,16,1,24,20,7
1297,2252.24756565359,7884.2224845087,0,208,16,362,25,0,1,0,10,5,1,0,15,9,20,1,9,3,2
1298,2576.30471730836,7885.05098855359,2,194,31,654,46,1,2,1,56,6,2,0,12,7,22,3,30,25,5
1299,2598.38962811327,7694.37836915728,0,211,3,387,10,0,0,1,3,2,0,0,8,3,16,0,9,3,0
