Xpos,Ypos,NGFR,NRG1,FOSL1,VEGFC
359.405501964987,79.967845659164,12,24,22,0
733.895957025728,604.573084534917,20,24,35,0
948.174342105263,162.620888157895,10,8,6,0
1075.80690245294,604.367370222476,3,4,4,0
1314.49537839399,480.773541305604,8,7,38,0
3550.90789473684,902.275563909774,2,3,7,0
3877.30329742083,654.816519751877,4,4,0,0
3932.4979770735,808.723196223871,2,4,6,0
4156.98713466648,367.459655992169,18,16,3,0
4177.3066617045,77.6014142165984,15,10,3,0
4461.37762792543,465.887742959143,15,6,2,0
4925.98682877406,926.243161094225,3,6,3,0
4952.2667140825,290.520981507824,14,12,23,0
5186.74172402491,634.301540478532,3,9,4,0
5436.64102564103,203.546351084813,7,26,31,0
6493.90575521488,126.744408142749,10,15,12,0
6907.21113768363,916.144858216604,6,3,10,0
7020.42358258012,954.494658997535,11,1,10,0
9288.79380214541,702.448947159317,0,0,4,0
9448.3855513308,710.625855513308,0,0,0,0
9466.70887973024,160.466841513676,4,11,23,0
9466.41279300755,442.909813269766,3,7,7,0
9532.31938948558,818.905031091012,2,3,7,0
9716.44062153163,737.715871254162,2,2,26,0
9738.95560040363,350.428859737639,10,16,28,0
9760.97292863002,210.011074651354,14,15,30,0
10033.0265957447,214.408814589666,10,21,36,0
10186.7031039136,34.3072424651372,0,1,4,0
10253.5790967742,861.074580645161,2,1,8,0
10773.6155136268,117.007966457023,12,7,13,0
10896.8997524752,101.806930693069,9,8,44,0
11453.3176386233,565.975382409178,3,4,1,0
11567.3845909956,323.008877615726,7,13,1,0
11581.1409426987,131.279574861368,4,6,1,0
11778.8222891566,21.2570281124498,3,14,2,0
11833.4896832316,855.285672769544,4,4,5,0
11989.1593682699,314.721823402728,7,14,13,0
12071.4494007989,503.623501997337,0,4,5,0
12218.4003021148,716.450906344411,0,0,8,0
12462.1977681339,759.012399256045,2,5,10,0
13248.6721363206,549.704323130325,8,5,1,0
13288.2068264933,276.137748882568,24,19,4,0
13366.1643290371,64.5987490523124,7,9,1,0
13550.4471403813,495.488734835355,9,5,3,0
13704.8554216867,527.186283595922,5,8,1,0
13843.8706390861,482.315220747144,4,3,3,0
14258.6948923216,1291.6832788364,7,3,64,0
13963.7838752114,871.707761698929,0,1,1,0
13974.6553656486,40.3056878677501,39,17,5,0
14232.6692095783,686.167832167832,4,2,5,0
14585.9587818325,652.034392228931,2,2,2,0
14775.8318556048,308.233058898037,4,6,5,0
15054.1884834282,927.718781386006,0,7,0,0
15168.0683709869,812.036563614744,1,1,0,0
15220.1040167866,551.202637889688,5,6,2,0
15399.5375242315,809.566325117696,2,4,4,0
15424.2048109966,538.400687285223,2,7,2,0
15437.63728223,915.07212543554,4,5,4,0
15481.0359824781,450.991864831039,2,8,5,0
15515.6239954076,192.152985074627,7,8,4,0
15528.3054830287,18.6616187989556,4,5,1,0
15537.5165184244,729.39040660737,3,1,1,0
15736.4157989228,888.366606822262,1,1,1,0
15749.3043371723,327.728497917177,2,5,31,0
15800.3755890669,28.3459000942507,3,5,10,0
15921.8069892473,527.033064516129,6,1,16,0
16050.064293915,830.439150401837,0,0,3,0
16095.5592084264,465.026172997127,4,5,31,0
16180.3560655738,69.0793442622951,7,11,43,0
16209.4967557747,266.345704645731,4,7,75,0
16417.4594594595,214.48283998284,51,14,100,0
16529.2163388805,887.434947049924,1,2,4,0
16637.6379140702,398.215480485405,2,4,18,0
16818.5651476252,857.89216944801,0,1,2,0
16830.4854191981,355.438942891859,1,2,12,0
16846.468833652,194.271128107075,2,9,22,0
16942.9412724307,485.562805872757,0,7,24,0
16972.718739524,896.380489440161,2,3,3,0
17046.3120879121,224.650235478807,2,5,7,0
17088.426173347,900.452894826996,3,2,10,0
17122.1659657069,653.175024263992,0,1,15,0
17229.7738324971,318.295638749518,4,22,19,0
17250.7406094968,907.973423104181,1,5,7,0
17258.1077989601,703.009358752166,0,1,3,0
17356.1748153359,645.259233204362,1,2,12,0
17490.4803333333,669.036333333333,0,6,16,0
17568.2058204769,296.115708274895,3,22,45,0
17590.1795705921,784.18119713728,2,4,9,0
17703.2619841967,429.397892888499,4,9,24,0
17738.4720670391,42.1528332003192,0,4,9,0
17791.2273722628,349.10802919708,9,15,57,0
17904.0226401951,437.40404040404,0,4,13,0
17917.3364269142,688.651309247597,2,0,24,0
17986.0401349073,484.904215851602,6,3,20,0
18014.0178335535,53.4894319682959,5,9,14,0
18051.9197174053,888.461464354528,0,4,3,0
18136.2238167939,409.727328244275,8,13,43,0
18229.2806722689,604.435294117647,2,9,44,0
18419.909457478,318.480938416422,7,14,24,0
18455.7273133661,628.132320071524,1,5,14,0
18523.6850447967,843.882494831151,0,2,1,0
18554.5171339564,601.850882658359,1,6,0,0
18625.5963161934,927.617805065234,3,1,1,0
18681.6899197768,745.397628182769,1,1,1,0
18711.349038824,820.168865435356,1,1,0,0
18775.6730458221,518.568194070081,7,11,0,0
18916.0140804598,203.458620689655,7,9,2,0
18944.6008403361,394.952941176471,8,9,2,0
19039.1098191214,638.86854005168,2,4,0,0
19058.7722529159,161.936464088398,8,5,2,0
19108.171127026,363.489257444403,7,16,2,0
19213.6110409526,861.545011726502,1,3,3,0
19182.135088327,602.827156217527,3,1,1,0
19233.4266023432,251.524465885596,4,6,0,0
19307.0055917987,659.428083255669,2,0,0,0
19368.0415442719,155.895509861519,2,6,5,0
19385.4812460267,852.945645263827,1,1,5,0
19393.4972484277,586.954402515723,4,0,4,0
19425.8405326405,757.093212081845,0,3,4,0
19424.6919982119,515.713455520787,4,5,14,0
19605.8192870959,870.68085106383,0,1,15,0
19751.0022464698,827.271822849807,1,0,22,0
19900.3279972752,677.578678474114,3,4,19,0
20202.3026134801,853.047455295736,0,2,21,0
20323.1083390294,150.188311688312,6,7,27,0
20435.2145310436,716.176750330251,3,1,2,0
20492.9577635977,487.880887268308,1,6,0,0
20642.8865814696,682.95143769968,1,3,0,0
20734.7813578826,875.858841580361,0,6,0,0
20774.9064386318,303.720657276995,9,14,2,0
20899.2159834654,651.095074061316,3,6,0,0
21203.3760504202,648.343697478992,6,5,2,0
21310.7308075773,289.675639747424,0,4,2,0
21340.8345162495,656.243929772133,1,0,1,0
21489.4700782406,677.621695918799,0,5,2,0
21620.8793774319,40.886673151751,2,7,1,0
21752.0048717949,869.616923076923,3,1,2,0
21866.212403599,361.858933161954,6,13,10,0
22001.510846746,871.352694191742,1,2,3,0
22152.1002277904,426.154138192863,1,4,10,0
22235.0738849166,643.18658495063,1,1,5,0
