Xpos,Ypos,NGFR,JUN,LOXL2,SERPINE1
21.9939839572192,388.228609625668,0,25,1,0
46.0637651821862,136.229251012146,0,24,2,0
54.3127035830619,269.023266635644,0,23,3,0
103.587750716332,708.479226361031,0,21,8,0
140.947988223749,167.506869479882,0,15,0,0
152.867398979992,398.043546488819,0,16,5,0
150.430506773708,914.169091821375,0,28,0,0
147.932126696833,320.640837104072,0,25,0,0
166.007359307359,535.57316017316,0,26,8,0
191.322830578512,75.6900826446281,0,21,0,0
258.68291332041,207.232068679036,0,60,1,0
279.066027689031,496.880191693291,0,35,2,0
352.973587223587,953.032862407862,0,36,11,0
388.331133919844,480.724828934506,0,41,3,0
391.04770920106,665.629685725104,0,30,7,0
423.667806917522,291.845686050931,0,39,7,0
424.658670861188,42.2151002752654,0,16,5,0
455.366025340216,820.104645706241,0,32,3,0
502.026548672566,237.477876106195,0,21,5,0
569.359195402299,858.000718390805,0,25,1,0
661.841052631579,760.748070175439,0,35,6,0
935.268713349431,711.630217316316,0,20,1,0
1244.45059681698,810.712864721485,0,26,8,0
1317.10006455778,775.054228534538,0,19,8,0
1338.65500176741,520.857546836338,0,23,11,0
1372.76151877133,934.929180887372,0,15,5,0
1433.67952522255,538.856824925816,0,17,13,0
1494.8726445744,884.17738791423,0,24,5,0
1538.51694393099,837.902033271719,0,17,3,0
1602.2077404667,618.419464997154,0,14,5,0
1611.62279511533,681.637720488467,0,16,5,0
1808.53309608541,779.725622775801,0,19,11,0
1819.49211788896,638.938999314599,0,28,6,0
2397.10484511517,618.482922954726,0,20,0,0
2781.49506578947,286.526315789474,0,4,1,0
2784.10071942446,484.906474820144,0,14,1,0
2787.81465201465,131.682051282051,0,20,8,0
2799.75707794477,869.486892694862,0,9,0,0
2843.49918566775,679.150244299674,0,7,3,0
2901.00114876508,278.326249282022,0,33,2,0
2915.24876673714,513.951374207188,0,23,6,0
2931.58672376874,783.940960538391,0,9,1,0
2938.13752401867,56.713972001098,0,59,9,0
2982.76698641087,361.083133493205,0,30,18,0
3028.27818515124,574.627864344638,0,19,8,0
3033.15724923346,941.322820849759,0,19,1,0
3045.62189485846,182.747255921433,0,10,2,0
3059.08031232571,808.100390407139,0,13,15,0
3087.54348528936,439.985451018429,0,28,12,0
3123.45578231293,715.312925170068,0,24,6,0
3149.64955203308,848.728118538939,0,7,1,0
3172.83697104677,125.2570155902,0,49,2,0
3192.02086438152,464.177347242921,0,24,9,0
3198.39875,692.478125,0,12,4,0
3231.20561282932,559.548682703322,0,108,11,0
3276.32763401109,717.371534195933,0,17,0,0
3278.28450555262,295.368059227922,0,26,5,0
3297.1580741372,847.55688112484,0,1,0,0
3306.98761835397,565.294610342316,0,31,13,0
3317.87558139535,388.768992248062,0,30,0,0
3334.15475285171,75.541825095057,0,29,5,0
3348.44929953302,183.299199466311,0,42,2,0
3392.92110586649,369.662171274444,0,25,2,0
3403.53963170536,508.591673338671,0,21,4,0
3463.0348189415,535.393454038997,0,31,4,0
3486.00236406619,912.039007092199,0,3,1,0
3510.11207970112,334.727895392279,0,18,3,0
