Xpos,Ypos,APCDD1,EGFR,MAP1B,GAPDH
78.4391330166271,117.86208432304,0,3,0,668
32.0514233241506,206.866850321396,0,4,0,482
74.3978365384615,502.098557692308,0,6,3,668
196.04432696218,790.33387555917,0,0,0,449
232.887717690192,302.927589367553,0,2,0,833
301.713128585893,216.626054674317,0,4,3,829
311.848897231347,323.972313467855,0,0,0,342
355.208303249097,638.359927797834,0,0,3,847
394.74210298572,309.538295110342,0,3,2,408
538.751079136691,55.9071942446043,0,7,0,314
587.747879722436,930.457208943716,0,3,0,112
625.080422125182,486.30749636099,0,3,4,776
634.231566820276,415.334869431644,0,9,4,1001
642.778021978022,828.258021978022,0,0,0,379
693.161021109475,646.27000490918,0,0,0,662
748.472871636524,947.491839435377,0,0,0,596
831.407527197883,770.52455160247,0,0,0,400
836.367388022144,586.698540513337,0,0,1,494
876.202177858439,354.55390199637,0,2,0,990
942.533811862486,807.331318473744,0,1,0,506
1048.61194029851,9.82462686567164,0,1,0,1548
1063.87407117716,871.046929996089,0,1,0,816
1110.04500199124,562.416567104739,0,1,0,1045
1181.10462331921,691.338552219562,0,0,0,1045
1258.25144694534,21.7800643086817,0,2,0,743
1351.9405908799,844.69588953115,0,0,0,846
1459.265692977,147.132069608452,0,3,4,974
1480.40744466801,964.678403755869,0,2,1,882
1598.87844801455,421.013337374962,0,2,4,1323
1609.95716573259,779.435148118495,0,1,0,531
1660.02459016393,575.757220921155,0,0,1,800
1719.15670840787,445.332379248658,0,1,1,541
1734.91802916483,908.308882015024,0,1,0,873
1762.08729433272,639.815356489945,0,0,0,395
1813.97557471264,228.848060344828,0,2,5,1433
1848.45749704841,687.397284533648,0,0,1,276
1860.28323289614,556.716412619638,0,2,1,632
2107.65684462325,318.899532456236,0,0,0,413
1884.84350479512,838.25283347864,0,0,0,365
1894.49304812834,423.498039215686,0,0,0,672
2030.1909018673,903.15315852205,0,0,0,563
2032.76260729614,400.039431330472,0,2,0,385
2046.2067114094,773.839261744966,0,0,0,953
2119.87957703399,326.996504413178,0,2,2,434
2195.35164835165,894.123837700761,0,0,0,539
2195.22409152086,76.3411843876178,0,0,0,761
2249.22533333333,114.08,0,0,0,478
2284.26599568656,961.429187634795,0,0,0,458
2290.72778036296,188.237785016287,0,1,1,544
2373.39329608939,383.117318435754,0,1,5,815
2413.74879807692,657.594551282051,0,0,0,813
2455.29497274379,522.079345850999,0,1,0,432
2440.07506297229,306.026196473552,0,1,2,406
2473.78304597701,39.3687739463602,0,0,0,187
2485.2466072121,414.7708414114,0,0,0,378
2495.01879882812,858.900390625,0,0,0,702
2504.04124263524,239.407873594001,0,0,0,322
2543.56479433879,732.731313578063,0,1,0,522
2595.78799195633,610.682275208273,0,0,0,563
2622.04186228482,274.29186228482,0,0,0,437
2621.98181049069,487.137055837563,0,1,5,381
2636.34466527197,343.996338912134,0,0,0,201
2639.00507614213,55.783571758191,0,0,0,509
2655.14978902954,860.979957805907,0,0,0,548
2709.36940393963,590.337938091584,0,0,1,455
2719.74414137534,379.301575105647,0,0,2,310
2736.49976247031,787.46080760095,0,0,0,453
2759.44338270425,295.145723841376,0,0,0,550
2788.33075648813,610.33296521259,0,0,0,430
3145.21257706535,358.236744759556,0,0,0,92
2810.6736453202,153.275041050903,0,0,2,581
2857.45625,865.702604166667,0,3,0,359
2882.49691358025,30.0759259259259,0,0,0,276
2933.24719551282,693.242788461538,0,1,0,477
2919.27077182623,602.012652889076,0,0,0,378
2955.25564304462,166.079790026247,0,0,0,336
2979.4412470024,66.8327338129496,0,0,1,441
2984.4862932062,238.614223281685,0,1,1,401
3011.84950248756,847.326285240464,0,0,0,293
3038.93480791618,294.766589057043,0,0,0,326
3053.564539698,530.279590842669,0,1,0,358
3059.18003273322,636.105291871249,0,0,0,380
3108.04542936288,466.103601108033,0,0,1,370
3106.50225338007,855.517776664998,0,0,0,563
3140.6713548992,328.818565400844,0,0,2,214
3150.69634955752,392.89657079646,0,1,1,118
3157.89306358382,24.3543352601156,0,0,0,284
3177.62144622991,163.384425216316,0,0,0,414
3219.31676470588,817.441470588235,0,0,0,482
3247.18607395751,361.540519276161,0,0,3,340
3266.42770167428,530.655251141553,0,2,2,513
3310.84980842912,17.6245210727969,0,0,0,226
3315.41431556949,588.115464994775,0,0,0,361
3337.70736086176,224.02513464991,0,0,0,306
3344.64084507042,98.6319248826291,0,0,0,507
3344.08657243816,778.810070671378,0,0,0,316
3357.69165885661,675.45595126523,0,0,2,514
3377.82111337407,329.823489477257,0,1,0,565
3429.75365853659,245.99512195122,0,0,0,288
3449.21470245041,844.120770128355,0,0,4,574
3488.38793338793,937.366639366639,0,3,1,904
3470.02667578659,573.929890560875,0,0,0,804
3499.65276476101,249.003748828491,0,0,0,343
3504.48895157499,67.7277856135402,0,0,0,652
3584.94518156425,579.36906424581,0,0,0,654
3588.82461385152,210.576482311908,0,0,0,311
3616.23001876173,877.551969981238,0,0,4,619
3636.1209439528,114.344289928361,0,1,0,737
3682.18160095579,842.194743130227,0,0,0,366
3740.00169875425,678.658550396376,0,0,0,502
3720.05205479452,405.87397260274,0,0,0,721
3935.77600607441,560.782839787396,0,1,0,247
3768.38737270876,872.467209775967,0,1,0,617
3858.30772686433,397.673105720276,0,2,0,870
3847.84661902144,60.7056074766355,0,0,0,956
4007.69087523277,512.02731222843,0,0,0,198
4032.6996996997,343.934434434434,0,5,1,848
4108.21337579618,120.845364472753,0,4,2,797
4131.36450617284,478.166049382716,0,1,0,678
4149.1153694192,385.873172659028,0,4,0,488
4231.89218996174,454.220571685798,0,6,1,873
4309.61271219897,849.485984998026,0,0,0,1240
4454.90542635659,34.0702842377261,0,1,2,267
4468.45864661654,449.117078410311,0,6,1,863
4562.41181041181,243.763403263403,0,3,0,477
4580.67405894368,488.059819083747,0,2,0,658
4611.8143735588,33.5661029976941,0,0,1,399
4631.73808501503,338.805925289824,0,2,0,361
4798.26587556126,111.590121872996,0,2,2,440
4854.41675617616,437.819334049409,0,4,0,369
4941.78708133971,342.566985645933,0,4,1,732
4998.67209011264,752.069461827284,0,0,0,781
5010.48986188657,161.321481046136,0,4,1,545
5081.74838709677,634.434050179211,0,0,0,485
5083.41464757709,916.855176211454,0,0,0,437
5132.81822202565,148.408226448474,0,0,0,334
5175.37800934244,752.913402802731,0,0,0,406
5179.35365212822,908.646873357856,0,0,0,294
5265.38618078561,31.6852815901562,0,1,0,254
5321.56540309664,928.447677522691,0,1,0,366
5312.57288317256,196.268488745981,0,0,1,569
5360.49928818385,300.336994102095,0,0,1,1092
5414.42285714286,798.316666666667,0,0,0,506
5483.99344906649,500.807075008189,0,1,0,717
5545.48184281843,900.518699186992,0,1,0,340
5552.60913515537,433.799700486709,0,0,1,695
5628.14059469942,88.7698771816419,0,1,0,589
5623.06705694518,447.579031399681,0,1,0,434
5626.80357142857,244.782467532468,0,0,0,455
5663.54802259887,620.456214689265,0,0,1,869
5694.70113717129,493.449182658138,0,0,0,329
5701.06684373617,49.0531208499336,0,1,0,428
5714.43778207608,809.358478401032,0,0,1,493
5736.07817337461,373.737229102167,0,0,1,562
5744.02601762484,875.492236676458,0,0,0,340
5765.83326280152,211.1282268303,0,0,0,422
5776.53311897106,296.439871382637,0,0,0,360
5790.60830090791,104.308257674016,0,1,0,471
5785.22754217966,539.812129502964,0,0,0,425
5884.34983766234,582.604707792208,0,0,0,375
5936.12679575265,899.076826983136,0,0,0,316
5946.53778751369,349.690032858708,0,3,0,505
5940.13915618061,22.4241302738712,0,4,1,652
5957.32251720747,731.259095378564,0,1,0,621
5991.69391304348,846.107246376812,0,0,0,391
6034.17173661918,590.911051212938,0,2,0,415
6135.58268824771,621.185784658691,0,0,0,591
6180.03868954758,690.164430577223,0,1,0,892
6181.42273068267,273.13615903976,0,4,2,646
6222.93047696039,883.251414713015,0,0,0,574
6235.73757821126,431,0,4,5,696
6269.09621289662,88.3592630501535,0,0,2,672
6466.23413431916,703.918977202711,0,0,0,565
6487.82116609505,85.8471337579618,0,0,0,741
6565.11916072842,875.98495645289,0,0,0,395
6598.1500445236,136.133348174533,0,0,0,564
6601.33464877664,711.031965272297,0,1,0,339
6612.47229887497,543.841222670346,0,0,0,638
6608.49061784897,792.90709382151,0,0,0,264
6649.36050895382,948.913996229972,0,0,0,292
6652.3118782914,208.476301930954,0,0,0,480
6693.23956386293,36.7760124610592,0,0,0,735
6715.2735483871,803.847741935484,0,6,0,758
6751.82841641234,509.842319430315,0,3,0,432
6775.5713156855,194.661793757408,0,0,0,744
6833.07342465753,293.324931506849,0,0,1,509
6855.90830636462,465.542250988853,0,0,0,492
6903.66147416413,367.380699088146,0,2,0,357
6923.97994579946,257.040650406504,0,2,2,615
6928.79594898725,177.116279069767,0,3,0,886
6964.34040671972,819.610963748895,0,0,0,1390
6968.99253539254,430.614929214929,0,1,0,532
7044.58881230117,539.735153764581,0,4,0,726
7102.27977479428,475.674317886531,0,0,0,504
7144.32896688087,707.473306969847,0,2,0,705
7148.47443609023,127.339473684211,0,4,1,583
7297.87321867322,353.507125307125,0,0,0,464
7320.00736377025,452.562101129111,0,1,1,323
7377.36269628495,821.524320183838,0,0,0,447
7395.48676880223,410.884401114206,0,2,0,279
7404.46465696466,19.1522869022869,0,1,1,333
7417.43164362519,238.877880184332,0,1,0,539
7424.30008944544,339.342576028623,0,1,0,327
7469.81279847182,505.319961795607,0,3,0,643
7570.37949940405,660.13063170441,0,0,0,602
7579.32631038027,52.8458376156218,0,2,1,542
7574.55011655012,838.104895104895,0,0,0,450
7673.39990732159,180.882298424467,0,1,0,399
7676.8409813721,846.448432530668,0,0,0,508
7675.30325288562,698.839979013641,0,0,0,575
7725.19065247571,625.531004164739,0,0,0,650
7712.69045741325,111.063485804416,0,0,0,575
7807.10615079365,341.183862433862,0,4,5,1132
7835.21656050955,742.707006369427,0,2,0,539
7883.80988274707,695.002512562814,0,0,0,563
7924.02455209025,123.024552090246,0,4,0,1022
7940.17554364954,313.805231641979,0,3,1,438
8014.41605166052,883.898062730627,0,0,0,485
8132.53784146888,834.150022391402,0,0,0,474
8152.201027146,918.67131327953,0,0,1,422
8292.7233592096,238.591390261115,0,0,0,547
8320.61966771441,879.060170633139,0,0,0,378
8598.45297029703,983.495874587459,0,0,0,162
8370.08193832599,257.191189427313,0,1,0,363
8413.65719467956,409.317412333736,0,5,0,492
8396.29887310142,41.234688878001,0,0,0,568
8400.84075871195,903.661226290251,0,0,0,410
8469.24096880131,610.529556650246,0,0,0,675
8531.59833251594,214.121137812653,0,0,0,451
8536.65666327569,916.370803662258,0,0,4,401
8605.75369167159,250.913762551683,0,1,0,566
8636.92046276211,888.655820679682,0,1,2,667
8690.29097744361,17.6127819548872,0,0,0,530
8714.34410876133,547.474622356496,0,1,0,680
8726.53353413655,291.079116465863,0,2,2,679
8729.82285955293,157.715309995782,0,4,0,509
8803.49638205499,767.938736131211,0,2,0,439
8815.82334710744,76.2055785123967,0,0,3,764
8826.46351537403,831.903166590179,0,0,0,313
8824.36595744681,923.260520094563,0,0,0,566
8875.71140472879,323.941585535466,0,3,5,852
8948.99690508941,513.235900962861,0,7,2,716
9087.57641350998,297.676991976115,0,7,2,589
9084.90670417253,45.1472105016409,0,6,2,787
9174.09504132231,605.018939393939,0,0,0,943
9312.4155378486,1304.70099601594,0,0,0,180
9367.03062266077,342.86492004083,0,1,0,698
9453.48070325901,46.1102058319039,0,2,0,750
9452.32149675449,299.02520045819,0,0,0,790
9512.92711171662,634.946525885559,0,1,1,974
9551.49108910891,487.217821782178,0,0,0,601
9590.90943396226,395.908113207547,0,1,0,923
9568.43819023869,876.560741004631,0,0,0,568
9655.78032161352,624.024257290815,0,0,2,492
9757.71573359073,928.951737451737,0,0,0,695
9768.79047395589,57.3683716564993,0,1,1,650
9771.35191637631,294.1438074121,0,3,7,1482
9999.7934192673,589.095488466757,0,4,1,1126
9975.79502369668,826.798578199052,0,0,0,220
10034.939703628,797.204905467552,0,0,0,338
10068.1789802289,905.895421436004,0,0,0,757
10100.1208588957,714.731901840491,0,0,0,337
10129.0093160088,459.455258641824,0,1,0,903
10156.0109936575,815.891754756871,0,0,0,330
10167.8694105691,321.544715447154,0,0,0,858
10192.6924694994,714.289861169541,0,0,0,465
10206.2689655172,141.884291187739,0,0,0,1124
10209.508033241,239.846537396122,0,0,0,284
10216.4051367026,241.39768019884,0,2,0,837
10293.0693668529,536.264432029795,0,1,0,581
10298.4979942693,878.622349570201,0,0,0,439
10406.26802622,615.594804564215,0,0,0,632
10435.6624,15.792,0,1,0,519
10449.3266860044,435.125453226976,0,0,1,662
10470.6127214171,509.380032206119,0,1,0,451
10480.8590203106,882.789127837515,0,0,0,207
10516.6560951437,685.608027750248,0,0,0,524
10562.447425357,862.484638684552,0,1,0,537
10567.642394822,244.494498381877,0,3,0,716
10568.8185042861,391.424475317765,0,1,0,453
10614.6336528222,711.054845580405,0,0,0,371
10671.0914634146,831.305259146341,0,4,2,428
10698.9281553398,191.367766990291,0,0,0,771
10735.0908770694,593.253258189503,0,1,0,536
10728.3102029621,698.994788809654,0,0,0,479
10797.7595383891,507.51059821008,0,0,1,552
10809.0635359116,309.383425414365,0,0,2,565
10816.2719821162,407.997764530551,0,0,1,435
10913.8298769772,928.601405975395,0,5,5,975
10912.8601199874,501.436059362172,0,2,0,524
10920.9880906646,698.996542451018,0,0,1,572
10925.395631068,125.36003236246,0,1,0,1264
10985.4171720396,403.825406958187,0,1,1,320
