Xpos,Ypos,APCDD1,EGFR,MAP1B,GAPDH
61.9348755832037,141.586119751166,0,2,0,381
187.504547251878,89.4436536180308,0,0,0,275
311.988651994498,54.4862448418157,0,1,0,179
461.380048390099,450.771077610274,0,6,0,734
455.908487084871,545.369741697417,1,0,0,427
513.49265750829,28.3088583609664,0,4,1,331
644.350699204826,70.7617219632575,1,7,1,523
671.124180148666,345.943156974202,0,2,0,505
784.193069939905,292.578442654392,0,5,1,663
987.745953002611,217.256135770235,0,1,0,502
991.68449197861,48.0807486631016,0,0,0,281
1061.14744744745,775.281081081081,0,0,0,223
1191.87071519255,728.873677528565,0,0,0,460
1206.53576025005,551.29656186799,0,2,0,742
1214.17947813822,318.141043723554,1,0,1,514
1307.5163723326,758.291390728477,2,6,0,635
1301.38888888889,34.3834422657952,0,3,1,565
1369.90352697095,406.891078838174,1,1,2,663
1373.77026239067,514.107871720117,0,0,2,550
1547.75221999427,66.9782297336007,1,1,4,633
1629.0296697145,708.74211606643,1,0,0,797
1674.21742773356,205.812840385421,0,7,0,308
1640.94175317186,330.420415224913,2,0,1,604
1660.80373073804,455.439172749392,0,1,0,332
1753.04407894737,915.219078947368,0,0,1,403
1760.32918968692,490.834714548803,0,0,0,340
1808.29455262509,775.20211979295,0,3,0,375
1799.08199195171,391.446177062374,0,0,1,206
1850.56334080717,274.890134529148,0,0,1,324
2054.32875605816,17.1995153473344,0,10,0,239
1894.3130881095,581.580196749358,0,1,0,374
1929.89932081502,746.786256492209,0,1,0,346
1942.74876237624,376.926155115512,0,0,0,213
1992.29220626324,618.247468801507,0,2,0,246
2015.05234754452,943.178089584458,0,0,0,369
2008.27621247113,269.122401847575,0,0,0,234
2075.37796143251,472.232782369146,0,0,0,287
2082.82966006724,319.466567052671,0,1,0,347
2108.98161637184,705.618453000347,0,0,0,204
2144.83486539724,148.332895600788,1,1,0,335
2179.27540402922,581.965021031658,0,3,1,391
2274.16201497617,164.145450419787,0,4,1,579
2280.67811366385,447.9446191052,0,0,2,584
2353.52745424293,219.480532445923,1,4,7,549
2521.09083119109,110.479291630963,2,4,5,1048
2829.86066878981,44.734872611465,0,2,0,424
2899.83281039892,412.16136261766,0,5,1,245
3050.28293096146,348.118170266836,2,7,4,457
3085.92114156966,71.6196019526849,0,1,0,698
3262.84739263804,922.289110429448,0,0,0,140
3918.81823495032,660.552600818235,0,0,0,201
4019.45549132948,302.609826589595,0,0,1,357
4046.12419781049,926.87429218573,0,2,0,302
4077.31209479097,437.121618600492,1,0,0,361
4150.38491579204,585.208445203808,0,0,0,388
4186.15183709606,465.953519256308,0,0,0,303
4203.68047842802,300.961982058949,0,2,2,402
4236.07555123217,1213.99416342412,0,0,0,237
4260.43294797688,1128.23554913295,3,4,4,414
4277.16693944353,592.886088379705,1,1,0,326
4307.69267900241,843.399034593725,0,0,0,135
4315.46376101861,766.825171400588,1,2,0,173
4416.57489032797,794.617505744725,0,0,0,154
4445.64526233359,479.508613938919,0,1,2,430
4465.32457859663,236.96158369267,0,3,3,627
4479.59321245932,325.993491399349,0,1,0,310
4638.16417910448,122.686567164179,0,2,0,385
4921.68675475346,150.916532388012,0,0,0,168
4948.76831976314,214.880088823094,0,0,0,192
4676.49151873767,219.571203155819,0,0,1,202
4686.14535182332,811.67385721623,0,0,0,194
4723.67060411745,524.939250759366,0,0,0,179
4732.95056179775,418.906902086677,1,0,0,275
4725.25269645609,284.127375449409,0,0,0,210
4831.16095199677,549.621218233159,0,1,0,246
4886.5672,37.3088,0,1,0,147
4930.53464955578,172.143928923988,0,0,0,137
4961.87453294002,585.838938053097,0,0,0,350
4932.8403707518,872.274287675936,0,0,0,176
4944.98820529168,378.81160344278,4,1,1,360
4982.76554621849,29.0218487394958,0,3,0,177
5022.91629955947,219.664757709251,0,1,0,222
5031.69591968912,462.549222797927,1,0,0,452
5061.67819548872,706.757142857143,1,0,0,194
5073.81219110379,556.480230642504,0,1,0,247
5105.0499510284,136.595494613124,0,2,1,389
5141.80596175478,778.019122609674,0,0,0,179
5162.96026036314,686.425488180884,0,0,0,291
5203.04270152505,859.359477124183,0,0,0,196
5212.49795221843,515.81433447099,1,0,1,349
5287.32928870293,178.708368200837,0,0,2,697
5292.44307020735,611.970170971262,0,0,0,174
5322.65929941618,346.183486238532,0,4,0,360
5360.47747747748,263.582843713279,0,1,0,261
5369.69113149847,620.897859327217,0,0,0,204
5447.67156970362,104.204171240395,0,2,0,498
5436.71837183718,681.559405940594,0,0,0,150
5448.87610619469,578.222600408441,0,0,0,176
5478.10334346505,202.544072948328,1,1,1,325
5488.2299229923,462.237623762376,1,1,1,280
5509.76809015421,540.498220640569,2,0,0,187
5526.05267523849,372.762339278308,0,0,1,404
5555.52761533463,813.345679012346,0,0,0,138
5584.47425742574,116.895544554455,0,1,3,401
5591.49621212121,462.888888888889,0,0,0,260
5626.82472771279,620.254134731747,0,1,0,163
5609.59762532981,949.92018469657,0,1,0,226
5638.55620780746,861.911945993543,0,0,0,88
5758.87882757491,262.761585066317,2,1,3,622
5807.39174894217,671.965444287729,0,1,1,203
5813.13542504693,450.757307589166,0,2,2,604
5809.05298013245,940.771222155328,0,0,2,221
5840.93572263342,125.377873003506,0,1,1,455
5857.34542501354,821.16621548457,0,0,0,115
5934.52450783447,244.76918441141,0,1,2,390
5910.71987480438,558.888106416275,0,1,1,228
5920.15095465394,870.393198090692,0,0,0,157
5954.99898442789,742.618483412322,0,1,0,347
5966.04456967213,309.650102459016,1,0,2,345
5980.58004158004,392.440332640333,1,0,0,310
6031.11100917431,919.756422018349,0,0,0,232
