Xpos,Ypos,NGFR,AXL,LOXL2,GAPDH
1103.70417422868,887.860859044162,0,0,0,21
2265.85531370038,559.537131882202,0,0,0,13
2167.86300309598,643.547213622291,0,0,0,36
2213.89501915709,625.343295019157,0,0,0,4
2335.1304895325,586.523217377617,0,3,0,27
2548.54421005386,646.21947935368,0,0,0,23
2593.33017944535,529.425448613377,0,0,0,26
2641.64939161785,462.230283911672,0,2,0,19
2698.63995067817,393.524660912454,0,3,0,30
2912.924291939,379.960058097313,0,0,0,9
2838.65784114053,380.180583842498,0,0,0,15
2940.48611812216,379.767036850076,0,0,0,6
3023.54121405751,282.88785942492,0,0,0,30
3037.19983416252,613.110281923715,0,0,0,29
3103.89104906054,544.697025052192,0,0,0,24
3114.48860315605,341.042080654588,0,0,0,5
3221.70615486433,301.635340833885,0,0,0,25
3247.14510869565,576.350543478261,0,0,0,26
3362.45036844387,345.491547464239,0,0,0,25
3461.72900763359,377.286577608142,0,2,0,29
3455.02797202797,278.699300699301,0,2,0,9
3512.00689655172,226.536206896552,0,0,0,44
3747.242,501.862,0,4,0,12
3951.52267486549,50.3443504996157,0,0,0,0
3982.53641975309,683.106172839506,0,0,0,7
4021.75090626618,504.766960124288,0,0,0,16
4062.5975975976,678.882882882883,0,1,0,56
4163.4899919936,699.673453048153,0,1,0,158
4156.14274601322,49.8883702839362,0,0,0,4
4328.27943095797,737.690942312712,0,3,0,201
4307.54779033916,74.9989722507708,0,0,0,53
4369.98975609756,615.247804878049,0,3,0,64
4419.43086172345,695.318637274549,0,1,0,76
4486.93165664297,467.849097867687,0,3,0,17
4519.33624454149,676.0878214459,0,0,0,72
4554.27764127764,380.500921375921,0,0,0,19
4537.94933793898,757.881980426022,0,0,0,28
4612.18256290228,622.552369806905,0,2,0,63
4690.8035,688.6115,0,0,0,113
4819.30625832224,582.219707057257,0,1,0,78
4931.23681318681,456.548901098901,0,0,0,67
4661.10900473934,399.355450236967,0,2,0,18
4678.57612179487,56.0977564102564,0,2,0,92
4683.04339250493,505.102564102564,0,0,0,19
4711.97919075145,141.64161849711,0,0,0,86
4746.75212224109,628.007130730051,0,0,0,134
4748.44196744515,210.750176928521,0,0,0,80
4753.23519061584,487.316715542522,0,5,0,43
4797.67537993921,701.803039513678,0,0,0,65
4826.50615474795,606.649765533411,0,1,0,99
4834.97998093422,460.792183031459,0,1,0,46
4882.51553877432,374.075225094394,0,1,0,66
4883.31683848797,801.441237113402,0,0,0,77
4919.4661855119,479.740443731623,0,0,0,34
4955.12265959015,673.343063541206,0,2,0,158
4987.19909044972,556.352703385548,0,0,0,96
5027.05850358185,454.044308835235,0,1,0,254
5057.44769874477,707.67708589712,0,0,0,167
5172.30447925254,377.105743336081,0,2,0,366
5103.83652900688,623.753441494592,0,3,0,276
5190.90994887928,222.723554856469,0,3,0,170
5188.95989974937,602.280343716434,0,4,0,217
5188.24589295178,712.860625331214,0,0,0,213
5229.92621741269,889.579439252336,0,1,0,112
5305.73706896552,424.53199602122,0,7,0,401
5311.3907989117,620.207642839476,0,0,0,420
5291.02777777778,778.668851435705,0,0,0,196
5361.58290346352,83.448784082535,0,2,0,141
5413.68887225549,516.149700598802,0,1,0,247
5412.93995733008,316.382200548613,0,0,0,175
