Xpos,Ypos,LMNA,KDM5B,GAPDH
23652.5709062418,464.463567511099,95,0,562
23651.9382178218,648.873267326733,30,2,209
23649.3036929057,798.030612244898,41,4,184
23672.7086038961,878.882711038961,34,4,263
23691.2642683257,307.959697051664,138,2,633
23673.5500322789,103.287927695287,55,0,547
23744.6608030593,703.863479923518,92,0,289
23777.7357112162,598.037387193812,71,3,359
23799.8624573379,100.863481228669,28,0,283
23795.2389283762,816.424275560415,59,3,212
23823.5314229893,350.886681862585,85,1,580
23856.3125,620.50244140625,53,1,383
23857.3523248199,856.466928618206,27,0,250
23870.9894291755,226.222339675828,32,0,344
23920.0447030006,575.142682180037,55,2,344
23986.6142754146,488.531843306897,146,3,650
24059.4883116883,354.972005772006,96,0,350
24134.9809372518,143.341805665872,188,5,720
24159.3375494071,61.3494071146245,88,5,460
24163.8142309331,292.692373242437,100,1,508
24286.600204499,707.968643490116,99,3,557
24359.7944297082,315.096374889478,147,1,594
24373.0577047066,802.724049000645,105,5,550
24380.1628365069,212.594440796673,166,4,929
24377.0833333333,487.153311965812,69,2,372
24381.437007874,578.352899069435,62,1,333
24539.399389313,641.700152671756,155,1,942
24620.3586050038,167.846853677028,78,1,696
24836.8767546322,773.833239752948,218,9,1516
25276.9283655825,50.9551255660766,32,1,391
25347.8666886109,947.675773535221,169,10,747
25393.5041564792,889.313936430318,212,8,620
26006.7881532248,330.420633949333,383,2,960
26016.5148418491,178.351459854015,317,5,1012
26190.2099004425,523.682798672566,188,3,637
26340.2111200645,23.9943593875907,40,1,537
26560.6013797241,697.52849430114,147,5,678
26581.2446933962,322.286851415094,107,3,837
27072.0085204375,352.700863557858,27,1,271
26916.132126254,534.671886469293,139,1,631
27030.6939834025,340.338433609958,120,7,723
27109.8418660287,364.358851674641,156,6,1177
27258.7189789648,56.6275112266604,159,12,1027
27305.5841674249,771.474977252047,80,5,357
27581.4198529412,380.986274509804,111,0,725
27605.2097315436,180.433305369128,90,2,736
27643.0847136772,754.547089446285,28,1,136
28125.8710526316,761,54,4,155
28038.8444266239,809.368350708367,83,4,324
28105.9087583824,896.034952245479,121,5,575
28155.4850670716,782.017843583903,82,10,309
28291.7484137524,532.586247602184,128,1,681
28342.0959051724,777.313218390805,196,2,761
28526.4860215054,810.520430107527,80,2,423
28563.0680764774,646.002896871379,157,10,606
28710.0715622077,688.33395696913,97,2,507
28914.7936393206,497.043006866643,156,8,698
28947.7947327653,811.772075910147,56,3,312
28956.4168490153,125.989496717724,160,0,587
29005.6805469236,25.0602858918583,27,0,82
29043.0825737265,917.477211796247,27,1,148
29156.4768076398,902.009890859482,35,0,260
29281.3059409463,394.647100675916,73,3,597
29264.1269674711,865.068905211612,111,12,624
29385.8146417445,926.399273104881,43,0,367
29400.6405155506,573.497338189969,61,0,570
29449.2642228739,717.887683284457,47,0,374
29520.3816452154,809.886121992166,85,1,502
29982.5879120879,20.3661338661339,63,2,256
29607.3554237879,773.974537844437,79,8,322
29705.6787819253,93.9891944990177,192,1,658
29792.2936288089,929.74459833795,83,6,369
29987.88224555,19.5413053400274,33,0,195
30149.8549679487,883.456730769231,101,2,285
30201.2189915348,140.162311372838,122,3,734
30219.9092827004,945.664556962025,34,0,193
30330.015420477,653.987986372602,133,8,607
30315.7657225156,419.951032165146,126,4,593
30477.993313832,463.929377350606,67,1,428
30488.7511786276,144.186485070718,52,0,415
30509.04874019,52.7315159025196,25,0,267
30521.4905325444,760.423668639053,69,5,352
30575.6715668698,341.749731086411,120,4,441
30601.9905795033,248.466742791893,109,3,481
30617.7688670667,878.513729769049,97,6,401
30651.8997113997,124.102813852814,75,3,457
31019.2887433739,664.907390084191,252,7,1395
31111.4052752294,528.559633027523,218,7,1590
31098.5072765073,142.886070686071,149,7,991
31132.2225136171,858.784547105104,126,8,1009
31213.3511773674,245.122141284093,144,16,996
31322.7158671587,182.621549815498,144,9,911
31297.0238663484,76.7404534606205,32,3,426
31505.3409545584,782.858245212918,52,12,403
31741.5154907576,763.406925279875,207,13,405
31844.3757894737,292.827368421053,156,0,452
32017.532238193,189.419712525667,120,1,571
32444.4488422186,445.288637587507,83,4,522
32506.2337278106,905.440499671269,97,4,484
32650.1572989852,232.403786104606,201,4,1165
32765.8825400432,466.370669090083,280,13,1416
32761.9087179487,847.632478632479,135,7,580
32814.1227601982,793.224170796798,107,8,408
32911.6316841579,762.269115442279,181,11,603
32982.0583090379,36.3685131195335,175,0,993
33205.2297029703,596.327920792079,181,14,781
33359.6715625,286.188125,97,0,398
33589.7303856383,878.940492021277,49,5,391
33688.5859728507,336.488185017597,322,12,749
33767.1083455344,145.987920937042,91,2,485
33847.5780405405,843.438175675676,107,6,564
33902.1302001349,166.152462334158,16,0,471
33921.234679803,272.824630541872,99,1,772
34139.3772809046,87.8488820354665,51,0,421
34162.4046890928,604.60788311247,71,8,499
34433.6145654414,1057.30642390931,75,10,324
34433.0026563139,850.02125051083,515,12,746
34448.7150016706,161.25392582693,154,4,881
34476.5343173432,633.418942189422,158,1,513
34593.6381724392,919.363301400147,248,4,734
34795.7645862662,433.465509150634,281,12,977
35090.5738963532,57.2936660268714,31,1,202
35245.3563937443,827.207911683533,88,10,437
35328.2269470765,270.612895770742,240,18,969
35464.5278917145,766.248564397047,77,5,280
35480.2264296754,699.520092735703,58,3,175
35527.1436443791,584.72556943424,86,3,317
35549.1036383682,735.186328555678,50,4,214
35725.8476190476,559.152380952381,148,1,727
35981.1816204459,829.675820192133,325,5,1458
36424.3286356562,312.359501988587,77,7,321
36193.8566165183,666.306723979122,242,2,885
36432.1404667217,311.922563217528,79,8,479
36429.6394590294,198.132378679395,80,6,647
36645.6930939227,18.1461325966851,4,0,147
36969.3357697065,527.900595974362,50,3,924
153.21681131469,1581.3269045323,210,12,530
223.921284034326,1825.95465621358,82,1,313
413.958637469586,1119.64324817518,38,6,275
596.238386308068,1041.50162999185,70,4,390
718.107360687552,1634.99875242584,265,9,1148
746.792254220457,1804.01996027805,195,8,832
751.73257509478,1038.45581802275,32,1,472
790.529836564044,1899.57126567845,72,3,817
858.731688511951,1601.83474685171,97,6,492
868.150412087912,1442.18715659341,239,8,1465
966.89304029304,1624.69728937729,223,15,825
995.652334326664,1770.15070242656,297,9,1065
1234.32995079951,1333.82441574416,156,7,1015
1264.38186034527,1180.26565318217,132,7,704
1411.05168475157,1272.71616219303,201,10,711
1457.67679164689,1737.60465116279,260,13,1028
1486.1264832794,1541.01402373247,232,15,1010
1512.98897189612,1016.83706865884,77,3,394
1559.86126734158,1729.99587551556,157,3,419
1609.30670640835,1298.9913561848,77,3,519
1645.87713717694,1762.4648111332,88,4,349
1670.02444903581,1031.74242424242,14,0,277
1674.41019872516,1461.37645294338,93,7,561
1734.38637083994,1148.63296354992,58,4,506
1743.92714453584,1804.10066588327,38,2,252
1843.94342149314,1720.52259792434,54,3,385
1866.29045362221,1532.1259309411,67,5,594
1891.32827102804,1080.16471962617,18,1,262
1912.14673046252,1394.92599681021,74,2,576
1909.20327723649,1188.29185119575,53,1,237
1919.56994047619,954.707589285714,93,4,576
1989.92303969022,1129.72216844143,31,3,325
2030.41615089891,1531.13262599469,97,4,586
2055.81936305733,1826.69859872611,165,3,534
2079.9577298256,1232.58498374224,111,2,446
2089.22112581296,1104.2715855573,49,2,407
2147.75095638868,1681.96289211936,92,6,437
2185.85925671025,1599.07019958706,99,3,491
2236.59664623152,1340.73836999639,63,3,513
2291.84799713877,1664.64842632332,137,5,525
2323.6453313253,1445.33772590361,85,1,639
2328.86978683967,995.400834105653,29,1,453
2365.45338848234,1212.39770919504,60,3,669
2365.61207200847,1818.17613836922,114,2,361
2418.57416879795,1732.98976982097,77,2,321
2489.85972850679,1863.22488687783,33,0,238
2575.09118086697,1822.9485799701,46,4,345
2629.78627968338,1697.31643422541,37,2,467
2632.33997879109,1548.96585365854,48,4,571
2711.41012396694,1305.625,36,2,680
2777.65338042381,1557.3965691221,95,4,689
2905.08003565062,1857.69429590018,10,0,107
2818.43045155435,1645.63013387792,66,2,470
2881.52353870458,1835.96429699842,74,5,452
2919.3691369606,1245.01547842401,48,1,316
2935.41464249059,1117.59117345193,54,1,282
2944.90504587156,1558.17935779817,70,2,283
2977.88562829195,1336.1956358164,90,7,479
3039.35369376806,1823.61576557986,35,0,304
3068.43036571851,1212.50424824529,59,3,329
3212.40103457664,1351.55676558671,97,2,595
3242.4397440455,1114.69960895841,50,1,326
3314.131276901,978.551291248207,19,0,387
3373.6237314598,1147.81693989071,24,1,285
3374.62228796844,1556.36193293886,76,1,442
3475.76213333333,1166.57013333333,14,3,265
3504.49406620862,1385.97158026234,122,3,770
3501.07233407905,1718.51006711409,86,2,559
3512.92760736196,1018.76073619632,49,0,437
3531.30899891579,1513.66931694977,75,4,677
3542.1212234241,1169.78217083178,11,0,163
4042.80900109769,1577.365532382,50,4,260
3746.42415068954,1341.54557685839,75,6,693
3808.85708485587,1754.82947624848,37,1,308
3823.656170645,1680.62214321991,69,4,405
3880.42056822729,1360.77791116447,81,4,643
3933.0051167253,1673.06427886153,49,3,279
3938.75032010243,1507.33930857875,66,4,301
3996.38151336656,1794.44834617127,106,4,511
4035.06859623734,1577.96642547033,37,1,207
4013.12774725275,1049.41804029304,42,1,594
4062.24148449415,1201.24555160142,80,5,741
4077.33854166667,1489.02465277778,84,5,503
4130.80287474333,1797.3401779603,76,1,418
4163.64942349642,1163.48893736366,36,2,493
4170.11507537688,1533.67688442211,107,6,481
4207.72621286198,1815.17863858593,130,5,785
4253.79750604876,1342.74855760283,78,5,717
4270.30169806932,1501.96906257269,77,10,601
4370.68321358589,1566.26910516003,92,4,659
4407.39224848818,1664.54343045629,101,2,625
4500.55601875977,1617.3444502345,77,1,728
4723.98564905414,1290.27005870841,41,2,481
4830.00049652433,1199.8813306852,78,1,718
4991.77639139714,1745.54555902151,251,9,1953
5050.94956432599,1302.96227575602,37,1,377
5228.91059027778,1645.58969907407,111,3,1316
5326.00659714833,1803.14641413067,129,2,900
5447.16124947235,1039.26973406501,1,0,429
5554.44277108434,1114.26920180723,97,7,575
5653.54922644163,971.991561181435,63,3,445
5646.81302521008,1628.42483660131,206,4,934
5707.82682705402,1205.59918293237,172,10,863
5703.80048959608,1754.29106487148,154,2,435
5813.6211564938,1358.96512161542,223,7,931
5880.22274590164,1808.04241803279,75,2,411
6025.79284869976,1608.58096926714,276,26,1320
6261.77999335327,1297.65104685942,80,6,1001
6509.96604414261,1823.38370118846,104,2,623
6807.26013691417,1665.92417061611,129,7,589
6825.10574412533,1778.33594429939,126,5,585
6884.095404814,1379.04529540481,205,37,1362
6915.79683131407,1839.99192295744,82,8,676
6995.49346534653,1373.15366336634,212,5,764
7066.20066485343,1541.28316711998,116,15,555
7067.28571428571,1383.80026455026,89,2,406
7082.30820895522,1714.03582089552,30,3,270
7263.66688353936,1306.14443721535,160,5,996
7313.51054650048,1620.87679769895,108,7,509
7421.18562355658,1597.1775404157,133,7,629
7461.72953798235,1264.22772105901,240,14,1046
7502.9428388951,1693.48123902283,67,2,409
7546.96864261168,1805.02920962199,79,3,626
7634.73403361345,1705.00700280112,81,11,541
7822.29817275748,1626.90199335548,112,2,456
8753.08521462639,1091.04165341812,155,4,742
8984.02460292744,1105.50669573342,158,6,670
9039.75588135015,997.191271735424,53,2,334
9154.89562682216,1256.87405247813,91,6,772
9252.52466367713,1433.50298953662,108,0,567
9508.86216402481,1415.33873190903,97,0,592
9614.18598914652,1434.6694622595,62,2,549
9768.34774552193,1357.83432846064,193,4,1055
9736.97971204188,1524.60471204188,84,3,711
9833.1003255401,1247.29061852619,126,7,1249
10112.9257669687,1120.88523287236,132,1,1048
10391.2721825963,1537.92810271041,124,2,378
10422.450877193,1149.39097744361,160,20,692
10590.7861429351,1597.86415711948,136,3,674
10622.4823657081,1149.73792729246,373,32,1152
10723.2895746165,1768.57426778243,147,4,572
10782.9752265861,1144.71782477341,156,9,572
10817.2691368982,1817.47370756601,133,7,587
10887.5124407583,1007.50236966825,108,0,557
10919.0511328206,1339.4961546456,382,39,1253
10957.6738440617,1089.02878513146,141,3,525
11086.8521641372,1518.19926925239,149,7,516
11065.6621779859,1120.02693208431,136,6,615
11346.5069835825,1079.89046802254,81,9,489
11353.9546599496,960.553652392947,85,1,459
11547.2215485075,956.80223880597,178,3,769
11576.2745885187,1175.37735849057,25,0,271
11623.5017112632,1500.71095208463,295,25,1220
11933.7433311646,1397.79440468445,187,9,1179
11991.500498008,1045.01593625498,97,2,882
12150.4188334505,1708.32466619817,134,0,477
12163.9556650246,1860.1287825475,19,2,208
12246.7455985915,1836.1073943662,42,0,220
12276.7028824834,1082.3705654102,120,5,720
12886.1886740331,1712.17071823204,94,0,384
13168.973108747,1659.41430260047,57,0,409
13482.6604493429,1664.33107248834,145,1,391
13692.4208835341,1600.53534136546,59,6,453
13744.1738690927,1297.94768764215,154,5,573
13730.5602836879,1854.42474389283,43,0,267
13920.061827957,2107.4375,333,6,1075
14289.241056085,1790.29885955319,146,9,709
14333.061465721,1708.05200945626,244,11,587
14586.7808902533,1071.45778971604,91,1,553
14933.5323339212,1267.1493239271,114,4,512
15209.0065561126,961.848438102584,122,6,452
15349.8280643372,995.578480310593,23,2,385
15357.7442799462,1497.47644683715,34,2,156
15544.8574052429,1502.0756386709,102,2,459
15647.6008855155,1603.71347248577,58,1,220
15736.147856862,1610.56704679512,84,0,314
15906.8345398139,1702.68217855912,52,2,271
16051.8078703704,1689.43611111111,27,2,151
16380.4698385726,1541.41588785047,88,10,468
16551.0937737282,1786.46962794229,56,2,481
16595.3659289758,1582.5579001544,78,3,549
16671.031652558,1581.4998159735,95,3,436
16830.4636963696,1864.61262376238,44,1,420
16831.529250457,1344.02559414991,52,9,280
17206.0376766091,1140.9178440607,31,1,357
17247.5905209223,1356.21349274125,25,3,223
17818.3434650456,1857.81905953871,212,9,657
17871.4455689278,1359.79595185996,170,3,926
17886.8569863014,1784.45808219178,148,6,759
18020.2467631379,1361.09291698401,108,15,477
18052.612012987,1452.31371753247,284,26,1108
18165.4108916609,1442.96598521599,319,40,1173
18101.4069737184,1300.08925318761,155,7,681
18219.9042754446,1241.51759364359,511,12,2105
19623.3661320173,1060.11412708205,43,0,569
19752.7788836846,1113.70706479313,70,4,759
19758.0916540212,982.149924127466,42,1,478
19746.5738798856,1591.22783603432,78,1,438
19809.7733421313,1539.92411745299,49,3,387
19867.8939393939,1029.77063740857,13,1,260
19888.9991742362,1621.20272502064,58,1,372
19882.0128809299,1427.30348727615,55,0,567
19884.2330298013,1137.16597682119,28,0,421
19962.4666060881,1045.93639254884,16,0,251
20020.2563098346,1756.5274151436,58,1,397
20048.740192926,1539.40471596999,68,2,684
20039.5855855856,1341.6115527292,50,0,550
20065.8467685893,1258.23940236275,33,2,414
20104.9642524091,1732.67329810382,68,3,555
20118.4502314815,1423.67669753086,67,3,458
20180.5083022704,1135.32768553033,14,0,325
20279.2153426791,1681.69158878505,44,0,538
20351.4956105347,1097.91540303272,37,1,384
20449.1868131868,1051.66483516484,35,1,336
20451.0886836028,1160.01385681293,111,7,544
20551.3171553758,1123.7593528817,38,1,419
20553.239051828,1865.90678987545,69,4,531
20557.3680716893,1209.23962827746,67,4,435
20757.8922439313,1517.35287152161,5,2,34
20843.0265763418,1435.71443460135,37,5,190
20944.5284469503,1413.39723218862,21,0,143
21205.2902330744,1278.25138734739,10,1,253
21208.875813449,1185.51193058568,8,0,293
22321.2420685279,1456.26681472081,72,2,362
22336.4806854487,1675.81818181818,108,12,420
22352.9110383814,1300.88872359417,69,7,390
22550.5975114958,1177.23289153368,26,3,421
22939.2814842579,1247.95127436282,42,5,454
22957.2686178862,2044.35089430894,80,0,428
22962.3758765778,1959.19424964937,29,0,234
23000.3744804655,1432.54488778055,56,1,358
23189.467282216,1082.13689281413,24,5,252
23245.9331122167,1443.62023217247,92,3,436
23298.3166039314,1302.87411125052,17,2,301
23422.1321850591,1335.34167834969,103,5,773
23440.018327606,1634.34776632302,81,3,333
23572.5521172638,1806.92903676128,109,0,288
23608.7618897638,1206.22771653543,53,0,306
23696.9807180851,1160.36103723404,54,1,276
23784.4879908502,1143.97750667175,41,1,286
23801.808477842,1262.19922928709,83,0,398
23883.2498453927,1218.96165739023,25,0,217
23893.4953429297,1007.72184589331,24,0,213
23961.0175531915,1099.4329787234,35,0,372
24049.6930147059,1256.50735294118,104,1,505
24060.6520282843,1062.86788239673,18,0,244
24072.7707828894,1030.48506860371,26,3,319
24181.5868299061,1078.64542969214,37,2,688
24224.4411047929,1334.89926888708,131,3,447
24257.0403715613,1476.40871739907,184,5,623
24296.4111249223,1319.70665009323,105,3,525
24388.6993440233,1757.9874271137,161,2,372
24361.5360522023,1528.11158238173,93,8,416
24400.7865117339,1845.60309865573,112,1,467
24415.8303664921,1648.74031413613,64,3,245
24496.8665354331,1619.21535433071,190,3,508
24619.6730211355,1425.69622876088,140,14,632
24640.4184818482,1592.06930693069,201,2,486
24716.6618539443,1400.93973634652,249,7,795
24757.2815229563,1889.34692049272,77,0,215
24837.8120327519,1123.68778924884,38,0,617
24852.0497635205,1275.2064569196,240,11,984
25210.2229580574,1659.06352710326,48,7,442
25604.547714808,1816.47020109689,57,0,299
25634.9609775325,1650.91840756799,88,0,449
25713.4970828471,1128.66938934267,147,8,1394
