Xpos,Ypos,EGFR,PDGFRB,FOSL1,GAPDH
137.056186926084,180.915355941449,0,9,0,238
145.709149163403,50.9263082947668,0,3,0,191
146.030619511037,496.37194398291,11,7,0,100
230.81423564303,570.243731464006,0,7,0,117
268.096204379562,169.083503649635,4,2,0,301
372.647078920396,663.109326955928,2,7,0,109
367.532918149466,908.747330960854,0,0,0,26
615.295429616088,952.040950639854,7,29,0,189
676.722605363985,735.063218390805,4,2,0,53
751.332230493521,652.002205679625,4,2,0,66
760.567082294264,738.834413965087,4,1,0,34
852.144644828855,189.402649981597,0,10,0,184
832.2,622.7712,1,0,0,37
854.653627760252,710.185488958991,0,4,0,27
901.638637943016,10.813064628214,1,1,0,89
951.491765716741,591.535156809394,2,3,0,96
911.907407407407,768.082930756844,0,3,0,28
946.447326627845,915.408681842245,0,3,0,89
1030.52705208158,375.712287207146,0,4,0,45
1024.89046590558,738.144554149954,0,3,0,55
996.897290485192,675.303717706364,0,5,0,36
1140.42691924227,341.420139581256,5,3,0,121
1047.03763702801,357.641047503045,0,6,0,48
1019.60980810235,725.13740819711,0,0,0,23
1042.50145121679,913.457691448984,0,2,0,68
1005.60177595628,474.222677595628,0,4,0,64
1067.81149079985,537.171986481412,0,1,0,43
1087.09188034188,53.2713675213675,0,3,0,80
1129.76470588235,438.110763454318,0,0,0,50
1140.59372156506,699.084167424932,0,5,0,88
1159.52462173315,853.093397524072,0,5,0,92
1166.17954960438,365.488740109556,0,1,0,39
1163.77087525151,554.514084507042,3,6,0,94
1236.4787252982,731.839950151326,0,4,0,105
1281.86061381074,562.481138107417,0,5,0,40
1351.62464445347,946.071007720439,2,7,0,164
1304.65439800374,418.801621958827,0,1,0,32
1379.15638802552,359.707345002454,7,15,0,132
1340.7503805175,615.983257229833,0,0,0,25
1356.89772727273,145.668181818182,0,2,0,82
1408.83039314516,478.427923387097,2,10,0,99
1396.6702525725,705.433115060805,9,4,0,40
1404.33681932925,570.571222502705,2,10,0,124
1510.36647650095,241.926922032056,0,3,0,209
1502.67160212604,728.732346241458,2,4,0,33
1599.91054678563,853.225348890414,2,7,0,40
1582.78751123091,696.712039532794,1,9,0,91
1626.21916990146,268.718722006569,0,13,0,353
1644.53233082707,160.124060150376,1,4,0,237
1657.92064476131,737.493490390577,0,4,0,46
1700.20557228916,134.825301204819,1,2,0,404
1810.70770887973,302.469932559011,4,10,0,656
1810.11453488372,568.391279069767,3,4,0,95
2020.71544715447,760.752845528455,0,1,0,25
1960.94551282051,672.153311965812,1,4,0,14
1983.68510324484,928.886430678466,0,3,0,32
2048.95222724338,630.302775984506,2,8,0,38
2097.43278159063,732.200915085453,0,3,0,84
2153.9794600939,42.9865023474178,0,3,0,55
2214.17515923567,701.957006369427,0,0,0,57
2291.48542600897,260.786434977578,0,5,0,54
2328.95608166066,723.595299365243,6,5,0,81
2332.60257159556,69.2372881355932,8,19,0,89
2339.58628442945,316.167509836987,0,4,0,41
2411.90864527629,716.526292335116,0,2,0,69
2447.45034290069,606.724155448311,2,1,0,114
2521.06435100548,686.419012797075,2,1,0,136
2554.22591362126,589.925802879291,2,8,0,179
2562.09494232476,775.554569653949,0,7,0,102
2607.38935406699,448.696770334928,1,3,0,70
2658.87667485093,781.446930901438,0,4,0,206
2647.22824124233,27.7482845792705,7,9,0,139
2700.79889426399,449.331375259157,1,0,0,87
3184.86874847524,451.182727494511,0,5,0,51
3044.88288800455,385.928936895964,1,7,0,141
3062.03530661003,61.819219538094,0,5,0,132
3136.60325644505,641.966350067843,4,6,0,14
3140.47321684331,883.171584073331,0,2,0,56
3162.25197808886,475.497869750456,1,3,0,25
3214.05037727474,403.008655126498,0,4,0,61
3317.64844162705,972.289487585843,2,6,0,209
3379.47804597701,325.625517241379,2,4,0,232
3407.35982008996,500.194902548726,0,2,0,65
3431.07463592233,173.602548543689,0,2,0,103
3557.96796338673,20.4752097635393,1,0,0,30
3605.64436917866,614.291701947502,12,3,0,85
3739.27467549438,531.499956442199,6,10,0,300
3970.0575504181,664.460895228726,0,2,0,38
4049.03543624161,670.047516778523,0,1,0,49
3725.37726967048,90.2938802958978,1,4,0,53
3803.07783578548,22.4954912197437,4,4,0,54
4021.28876154091,668.192136262337,1,4,0,29
4154.28231683928,207.165324127349,14,18,0,48
4220.53071447403,746.795148958608,1,7,0,88
4260.22510518934,911.928471248247,0,1,0,31
4295.2944606414,730.01166180758,4,1,2,42
4325.13971094288,853.024088093599,0,2,0,43
4396.68797250859,149.410309278351,0,3,0,100
4465.43020193152,76.5118525021949,3,7,0,129
4500.22061575098,842.128423201225,1,0,0,89
4463.15472027972,189.146416083916,4,4,0,87
4463.94865944096,741.375926982316,3,10,0,37
4518.55867768595,638.144903581267,7,9,0,38
4574.81286151752,690.835998638993,1,2,0,40
4631.40781954887,743.757293233083,1,1,0,62
4634.82338204593,570.201878914405,8,2,0,81
4625.95329181495,844.843861209964,0,0,0,35
4682.05514705882,1350.94485294118,4,1,0,83
4733.02231520223,771.914365411437,6,1,0,22
4721.07485662542,496.327195894959,3,4,0,152
4752.91997769413,158.114038756448,20,8,0,255
4850.88906037782,558.463575750093,7,11,0,240
4861.80715197957,467.973605789698,7,9,0,262
4927.8189987163,287.283055198973,0,1,0,76
4991.6156097561,221.026341463415,2,4,0,145
5068.2753968254,244.905555555556,1,4,0,118
5099.66471506635,109.139539422326,0,7,0,190
5090.09681050657,888.816885553471,0,1,0,40
5132.4978526594,751.499834819954,0,1,0,47
5144.99820251648,288.795686039545,0,0,0,63
5253.94692949204,29.7725549658832,0,3,0,173
5243.00338173861,934.809628008753,3,7,0,302
5224.04748908297,340.394104803493,0,2,0,69
5230.54428754814,135.459563543004,0,1,0,50
5338.64555774463,561.020358382587,0,15,0,232
5306.90616693248,284.689526847422,1,5,0,67
5360.75703994761,208.067452521284,0,1,0,60
5533.44605009634,177.99633911368,0,1,0,137
5574.41303784344,976.451270088129,2,1,0,125
5519.61990595611,278.805642633229,2,8,0,83
5572.00185442745,30.7607788595271,4,4,0,64
5624.1797996209,248.393447062009,0,4,0,123
5741.53067752254,671.874382087816,0,2,0,36
5781.12859230395,408.897223575256,2,2,0,55
6011.11433946488,753.289506688963,2,1,0,52
6012.84705025492,661.926438455936,1,2,0,67
6169.50511739916,64.7728276138872,5,5,0,219
6335.22175732218,632.763249651325,0,4,0,56
6365.72787610619,33.9099241466498,3,2,0,143
6576.20678560983,120.516817782977,3,5,0,26
6567.0067264574,116.253587443946,0,4,0,44
6541.37870937353,683.55346208196,0,4,0,7
6659.9533632287,210.52331838565,4,3,0,51
6690.58208955224,82.7917555081734,6,1,0,43
6698.94283646889,154.086830680174,0,3,0,33
6801.62321083172,73.1189555125725,1,11,0,129
6870.81536101935,585.830698442662,6,3,0,132
6945.18648905804,722.772085193589,3,5,0,73
6821.68125,313.188392857143,1,10,0,101
6903.03407667251,74.4743172137309,3,6,0,126
6970.95079365079,414.333068783069,5,8,0,23
6979.16883116883,90.8157081014224,1,5,0,62
7052.52205412316,675.32175580652,0,5,0,79
7047.10069177556,60.4254419677171,1,4,0,85
7072.3945624469,123.952421410365,1,8,0,82
