Xpos,Ypos,CYR61,EGFR,LOXL2,GAPDH
472.534766584767,830.170884520885,0,0,0,40
421.390488948426,655.187541862023,0,0,0,1
449.931933842239,735.413486005089,0,0,0,12
548.640189070786,676.244985012682,0,0,0,6
612.589250045397,293.542763755221,0,0,0,0
592.416260162602,981.212357723577,0,0,0,0
653.805201916496,403.865708418891,0,0,0,0
627.750518313753,892.823773324119,0,0,0,5
632.800407331976,195.739307535642,0,0,0,0
630.975188781014,803.960086299892,0,0,0,31
653.645225464191,502.177055702918,0,0,0,24
668.868714242698,603.728395061728,0,0,0,21
757.974064391855,752.760731975784,0,0,0,19
700.817686250757,921.830405814658,0,0,0,5
717.07306122449,150.846530612245,0,0,0,0
707.955070603338,237.093709884467,0,0,0,0
740.624824236226,492.416336443819,0,0,0,10
796.164296407186,273.139221556886,0,0,0,0
784.218694885362,342.910052910053,0,0,0,1
830.916983282675,45.0001899696049,0,0,0,0
830.961877756774,890.452110901071,0,0,0,5
858.236440030558,398.375668449198,0,0,0,1
844.249142072752,527.305422100206,0,0,0,4
913.102756892231,229.213180008846,0,0,0,0
909.220123361604,845.018504240555,0,0,0,1
971.287850232441,145.414248021108,0,0,0,0
1011.63306224334,448.726870118367,0,0,0,1
931.733147373315,582.226406322641,0,0,0,2
1010.71312217195,28.1452488687783,0,0,0,0
1076.15609514371,78.6065411298315,0,0,0,0
1092.73723939612,554.152767792955,0,0,0,11
1173.45391705069,627.001228878648,0,0,0,1
1176.97075548335,482.082453290008,0,0,0,1
1189.93265086207,405.879310344828,0,0,0,11
1256.41218637993,528.483870967742,0,0,1,14
1257.42899061033,437.849178403756,0,0,0,8
1017.41723983254,446.860870215311,0,0,0,1
960.059762308998,323.318505942275,0,0,0,0
1013.48864668483,654.167899312313,0,0,0,35
1040.85359361136,52.1827861579414,0,0,0,0
1003.56867779204,938.163029525032,0,0,0,0
1064.97071780254,262.707955428868,0,0,0,0
1148.80198297634,603.978580114115,0,0,0,0
1112.78036809816,868.026117440841,0,0,0,10
1205.94771325797,504.659172661871,0,0,0,5
1141.49408154318,755.013590530469,0,0,0,5
1149.23683227493,310.030257751214,0,0,0,1
1162.42983939138,128.738377007608,0,0,0,0
1222.79066022544,421.706234184495,0,0,0,1
1221.2712602459,37.3260758196721,0,0,0,0
1304.54181942195,236.043140932731,0,0,0,7
1234.37106080781,328.932090545939,0,0,0,13
1233.68857520953,893.490516100573,0,0,0,1
1236.71044776119,830.875373134328,0,0,0,3
1284.72668900056,694.309882747069,0,0,0,12
1360.44064894831,821.309880971792,0,0,0,37
1342.30315756727,598.216674443926,0,0,0,74
1313.33151059467,349.375256322625,0,0,0,7
1419.92514519251,1019.2240266724,0,0,0,27
1412.06364329268,160.928099593496,0,0,0,9
1400.42759650245,411.222435487311,0,0,0,30
1377.4,730.2329004329,0,0,0,22
1545.6834645003,572.548531776255,0,0,0,157
1468.45865633075,15.8113695090439,0,0,0,0
1499.33504712939,932.831476720937,0,0,0,59
1506.41838067254,369.06611165524,0,0,0,10
1519.48804604486,759.911599763872,0,0,0,33
1552.49833997344,183.720119521912,0,0,0,0
1605.57615658363,249.143416370107,0,0,0,1
1597.60810810811,801.639109697933,0,0,0,45
1608.19995387454,60.6303044280443,0,0,0,0
1630.92175066313,868.858885941645,1,0,0,20
1646.81958152388,372.191077773391,0,0,0,24
1676.51170835551,154.594199042044,0,0,0,0
1733.96772001359,253.01121304791,0,0,0,1
1753.424591048,371.863383066691,0,0,0,1
1761.82179607109,521.707202993452,0,0,0,28
1801.68596938775,865.511649659864,0,0,0,45
1754.90304026294,670.131059983566,0,0,0,80
1794.52932904781,112.441944556047,0,0,0,0
1776.56123973114,737.716579536968,0,0,0,59
1902.36038667871,694.443405747065,0,0,0,45
1875.90325092466,208.278761923302,0,0,0,0
1907.40500761293,520.875824733548,0,0,0,6
1984.71339037008,376.876144050935,0,0,0,7
1902.17548076923,89.0706730769231,0,0,0,0
1904.55524553571,16.5212053571429,0,0,0,1
2001.91193548387,517.312580645161,0,0,0,5
2024.23011161244,286.916409403942,0,0,0,0
2029.91767262192,114.395461129889,0,0,0,0
2011.75418692599,34.7941653160454,0,0,0,0
2148.03569818127,773.108447317,0,0,0,37
2035.77442528736,663.07662835249,0,0,0,34
2040.77671033479,914.805531295488,0,0,0,17
2135.57533414338,497.649250708789,0,0,0,5
2203.64798411729,882.522449602932,0,0,0,13
2163.93998063892,399.424491771539,0,0,0,16
2167.45268400664,677.519645821804,0,0,0,22
2218.57707333408,222.141198794508,0,0,0,0
2212.62433333333,456.120666666667,0,0,0,12
2219.21085409253,77.5957888493476,0,0,0,0
2261.7564434747,610.778671757807,1,0,0,5
2267.67896440129,15.5223300970874,0,0,0,0
2315.24889360949,811.663657284475,0,0,0,30
2304.96157587549,153.876459143969,0,0,0,0
2349.09601728929,541.167335597407,2,0,0,6
2352.6078134464,223.860084797093,0,0,0,1
2369.64400977995,48.9129584352078,0,0,0,0
2362.01360141928,307.197516262567,0,0,0,0
2377.52156057495,715.227926078029,0,0,0,15
2399.45111769459,403.820630218152,0,0,0,1
2398.95478191277,134.436974789916,0,0,0,0
2404.22373434948,864.474142623843,0,0,0,5
2428.12353304509,518.693020382952,0,0,0,1
2488.51454488583,85.0828902095715,0,0,0,0
2504.07151117965,209.940053970702,0,0,0,0
2487.34259259259,326.250544662309,0,0,0,0
2534.900132178,691.291819650463,0,0,0,42
2487.8212967844,468.585925144966,0,0,0,1
2511.8932038835,894.599352750809,0,1,0,4
2578.44691035683,78.6322889469104,0,0,0,0
2590.87270424319,314.386953768208,0,0,0,0
2648.38423110339,614.064943527368,0,0,0,57
2699.06008757157,813.466217581677,0,0,0,33
2662.00983746792,946.583404619333,0,0,0,5
2656.66973566974,90.5346005346005,0,0,0,0
2649.14183764496,429.251115075825,0,0,0,5
2730.43309859155,174.896478873239,0,0,0,0
2755.19799691834,429.620184899846,0,0,0,21
2760.94828431373,252.234068627451,0,0,0,0
2762.66523835029,609.608462774505,0,0,0,52
2829.86627150499,517.250975856585,0,0,0,20
2890.40145482389,677.669448698315,0,0,0,101
2798.54489795918,779.734693877551,0,0,0,49
2868.84538103406,412.058564077432,0,0,0,55
2885.54340414372,278.122475740886,0,0,0,0
2890.77497295348,794.960692390912,0,0,0,25
2970.66679748823,333.605180533752,0,0,0,19
2978.78658793758,762.746520455504,0,0,0,77
2991.39044229792,406.881037112354,0,0,0,43
3072.72454533386,811.558741537236,0,0,0,23
