cellID,Xpos,Ypos,EGFR,SOX10,CCNA2,GAPDH,WNT5A,PDGFRB,PDGFC,SERPINE1,NGFR,NRG1,FOSL1,VEGFC,AXL,MITF,LOXL2,RUNX2,FGFR1,JUN,VGF
1492,12696.3535693099,15071.0219497726,2,38,0,329,18,12,0,1,1,7,0,19,19,7,0,0,16,36,0
1493,13158.339954597,14983.0715096481,0,40,0,139,5,1,0,49,1,4,0,2,44,0,1,0,6,5,0
1494,13371.3949207431,15111.5525822396,16,11,1,229,18,6,0,135,2,15,0,23,120,2,0,0,21,10,0
1495,13717.415899176,15036.5075133301,7,281,0,111,23,7,0,15,10,24,0,21,11,14,2,0,10,40,0
1496,13841.4697520068,15152.8315171084,2,435,0,83,15,2,0,19,0,5,0,7,4,12,0,0,7,48,0
1498,24895.1496199032,15234.1613683483,3,128,0,102,18,4,0,45,5,7,0,10,1,0,0,0,3,8,0
1500,30470.3913203384,15471.3453475542,12,145,0,85,48,25,0,17,5,38,0,3,11,0,1,0,8,10,0
1501,31323.0119868145,15618.5600839077,15,141,0,30,28,13,0,34,11,29,0,0,9,4,0,0,6,15,0
1505,33485.795821727,15279.5151810585,26,154,0,10,41,16,0,24,10,28,0,12,11,14,6,0,19,23,0
1506,36046.3509736541,15457.3885452463,7,117,0,21,13,5,0,21,2,7,0,0,0,26,0,0,2,18,0
1507,36385.6124964579,16029.5796259564,0,79,0,18,7,4,0,17,0,4,0,2,6,14,2,0,5,10,0
1508,36471.3147194362,15940.1514412216,1,154,0,55,9,3,0,30,4,11,0,13,3,17,2,0,10,12,0
1510,2271.72495023225,15738.0749834108,2,56,0,25,20,2,0,34,2,4,0,5,0,3,1,0,0,0,0
1514,6515.05909090909,15830.5005347594,5,0,0,118,6,7,0,21,1,4,0,0,37,1,0,0,13,4,0
1515,6632.61305171947,15933.408249842,13,4,0,519,25,20,0,44,1,16,0,0,75,5,0,0,151,66,0
1516,6759.85582998277,16001.335295807,18,6,0,626,43,43,0,335,28,53,0,0,129,2,0,0,90,29,0
1517,7038.99736992567,16341.5071469411,7,31,0,439,20,48,0,59,13,1,0,0,56,1,1,0,20,11,0
1518,7060.11465517241,15939.5146551724,14,70,0,694,45,20,0,67,2,11,0,0,18,6,0,0,10,18,0
1519,7106.37880719649,16511.5731690041,11,7,1,232,27,16,0,104,37,12,1,17,45,0,4,0,29,25,0
1520,7551.7396593674,16194.8339416058,3,13,0,149,11,6,0,30,8,2,0,2,14,0,1,0,14,5,0
1521,7623.4491197939,16362.5015027909,4,11,0,93,11,10,0,9,0,3,0,1,17,1,0,0,10,1,0
1522,7738.58461210571,16390.5481670929,7,16,0,134,13,14,0,15,0,5,0,2,8,3,0,0,13,1,0
1523,8099.09658886894,16178.0551166966,22,24,3,342,56,33,1,63,2,5,0,20,145,4,2,0,41,42,0
1524,8119.22130102041,16400.4464285714,6,25,0,248,13,17,0,69,0,2,0,22,49,2,0,0,22,7,0
1526,8270.29609045611,15901.1264852434,5,12,0,320,48,39,0,254,3,22,2,19,182,3,4,0,111,7,0
1527,9298.01016733743,15927.1167125609,0,0,0,2,7,0,0,9,3,2,0,7,28,2,1,0,11,8,0
1528,9278.21946564886,15910.5852417303,8,4,0,101,12,21,0,8,3,2,0,7,28,2,1,0,11,8,0
1529,9776.2065084414,16105.2402740396,11,19,0,441,22,7,0,63,2,5,0,31,60,0,1,0,37,0,0
1530,10025.9409354729,16459.8354387163,3,7,0,149,15,2,0,31,0,0,0,2,11,0,0,0,6,0,0
1532,10909.2661058224,15850.6679211866,15,18,0,633,21,21,0,247,3,29,0,16,107,5,2,0,2,17,0
1533,12383.1796338673,16048.7062356979,1,1,0,24,8,3,0,0,0,0,0,1,0,1,0,0,0,1,0
1534,13491.112849162,16640.1664804469,0,62,0,25,2,2,0,6,4,5,0,3,7,2,1,0,4,9,0
1535,20534.2942413884,15798.5781619774,0,67,0,1,1,1,0,0,0,2,0,2,0,0,0,0,5,0,0
1536,20454.0791022307,15811.7001505406,0,177,0,19,9,3,0,18,0,7,0,15,0,5,0,0,1,2,0
1538,20602.885525071,15865.261589404,1,76,0,6,1,0,0,1,0,0,0,6,0,0,0,0,3,0,0
1539,26918.8122286541,16585.6421852388,1,51,0,12,3,2,0,5,0,0,0,0,1,1,1,0,0,1,0
1540,30179.3076545633,15788.4806182532,4,93,0,46,22,4,0,54,2,10,0,12,2,6,1,0,6,17,0
1541,31601.6960075448,15771.688148381,5,49,0,10,5,6,0,6,4,2,0,4,3,3,0,0,4,20,0
1542,31765.1856986501,16483.8241517694,3,341,0,702,54,30,0,226,2,30,0,14,3,18,1,0,11,17,0
1543,31928.955476853,16036.8654186694,8,98,0,31,25,11,0,42,6,12,0,3,10,1,7,0,9,5,0
1544,35018.3003663004,16080.1279233587,1,68,0,30,12,3,0,28,0,1,0,3,2,5,1,0,2,3,0
1545,35930.4848959499,16090.763705527,2,70,0,39,9,4,0,37,1,6,0,5,4,9,5,0,8,8,0
1546,36380.6605642257,16067.7244897959,0,70,0,19,1,1,0,11,0,4,0,2,1,19,1,0,8,3,0
1547,36449.8923276234,15954.4021160213,0,70,0,13,5,0,0,11,4,11,0,13,3,17,2,0,10,12,0
1548,36391.9429019608,16048.7617254902,0,11,0,2,1,1,0,11,0,4,0,2,1,19,1,0,8,3,0
1549,36462.3320414459,15943.9259669382,1,23,0,9,5,0,0,11,4,11,0,13,3,17,2,0,10,12,0
1551,6366.10642727036,17071.7478532397,28,179,0,62,60,21,0,59,18,20,0,5,9,8,3,0,21,23,0
1552,6852.85546038544,17129.0717344754,2,63,0,38,13,4,0,40,13,4,0,2,2,4,2,1,7,11,0
1553,6996.66204675906,17406.4125717486,4,106,0,83,14,1,0,73,8,2,0,15,2,3,1,0,5,27,0
1554,8452.94231378764,17514.7721077655,3,50,0,27,8,3,0,42,2,4,0,6,6,2,4,0,4,5,0
1555,8472.22048949534,17119.0794888456,3,72,0,18,6,1,0,23,0,0,0,1,2,1,2,0,0,2,0
1557,13631.0644673123,17193.916464891,4,85,0,61,6,4,0,11,8,8,0,6,7,6,2,0,8,17,0
1558,13833.1999292286,16955.0180467091,5,80,0,46,2,1,0,11,1,3,0,11,7,3,1,0,4,6,0
1559,16846.3036369703,17078.0720720721,6,68,0,49,16,3,0,36,2,8,0,6,3,0,2,0,5,8,0
1560,19943.1505238947,16741.4901610018,1,123,0,1,55,25,0,80,18,35,0,20,18,11,4,0,10,25,0
1562,24178.119524224,16980.1360603423,5,61,0,12,17,7,0,14,13,13,0,2,4,4,0,0,7,10,0
1563,25315.7184717035,17439.1215168055,12,89,0,33,30,1,0,33,16,20,0,9,5,8,4,1,7,19,0
1564,27045.9794452699,17405.5567112432,0,215,0,96,18,2,0,102,0,8,0,9,4,7,1,0,6,7,0
1568,31451.3634103903,17166.7312950534,5,49,0,13,15,7,0,23,3,7,0,1,7,1,2,0,3,3,0
1569,33698.5331747049,16953.9232177176,9,296,0,60,25,16,0,40,4,22,0,4,1,7,1,0,19,23,0
1570,33730.8863636364,16835.7349037823,2,156,0,43,12,6,0,55,6,3,0,12,10,4,4,0,11,29,0
1571,34154.2064064064,16969.1429429429,12,174,1,58,19,12,0,34,6,13,0,6,4,6,2,0,7,8,0
1572,35072.4126679463,16732.9594187003,9,95,0,57,50,11,0,87,11,15,0,25,18,14,3,0,9,17,0
1574,6140.45263591433,17613.8723228995,5,95,0,38,19,7,0,23,2,3,0,6,3,7,1,0,3,3,0
1575,6216.63974970203,17708.2946960667,4,78,0,57,33,5,0,56,2,6,0,3,7,7,1,0,6,8,0
1576,6818.61893687708,18312.046179402,0,2,0,34,8,1,0,27,5,18,0,7,3,8,0,0,5,6,0
1577,10712.9884492504,17993.8623740477,0,145,0,0,14,3,0,6,0,0,0,1,0,11,0,1,3,5,0
1578,11147.9209348583,17814.7583291895,1,20,1,18,5,1,0,8,8,2,0,2,7,5,3,0,3,3,0
1581,20482.2413606911,18361.8018358531,2,4,0,15,3,2,0,4,0,1,0,2,1,2,1,0,3,1,0
1582,25785.7396787755,18467.9392044842,7,219,0,47,13,6,0,49,3,9,0,6,2,18,0,0,3,4,0
1583,25845.33729485,18593.9267119411,0,75,0,9,2,2,0,16,3,6,0,1,0,6,0,0,1,8,0
1584,25858.5107843137,18546.9225490196,2,100,0,13,14,6,0,18,1,4,0,2,6,19,0,0,2,6,0
1585,26993.7809617918,17904.946969697,2,53,0,10,6,6,0,19,0,6,0,2,1,0,0,0,2,0,0
1586,32609.7817599068,18889.0442890443,11,11,0,28,52,29,0,73,17,27,0,9,7,11,3,0,10,18,0
1589,8817.32547864507,19378.4615146113,6,367,0,56,46,10,0,83,10,28,0,25,4,16,1,0,11,13,0
1591,13147.2976550681,19115.8838880484,7,51,0,8,7,3,0,17,1,3,0,1,1,2,0,0,2,10,0
1592,13221.4950041632,19171.6011656953,6,56,0,26,17,4,0,33,3,4,3,1,2,0,2,0,3,1,0
1594,13581.4061488673,19367.3909634055,0,147,0,40,14,7,0,47,2,9,0,0,2,7,0,0,5,7,0
1598,15858.3221872541,19038.6304746918,7,112,1,60,11,5,0,45,2,3,0,1,3,4,3,1,4,5,0
1599,17640.2612490303,18673.7042280838,14,24,0,505,20,29,0,27,2,10,0,22,27,6,0,0,12,6,0
1600,17671.865691199,18555.9196331077,19,24,0,316,31,25,0,19,2,19,0,16,20,2,0,0,2,15,0
1601,18309.8648838846,19022.7821956369,17,70,0,476,65,46,0,137,1,37,0,52,166,6,4,0,3,41,0
1602,18357.1181427343,19181.3086844368,11,50,0,450,110,34,0,128,2,32,0,56,162,3,3,0,8,4,0
1604,21033.9586127924,19221.163422215,4,102,0,9,14,2,0,56,3,2,0,7,3,4,0,0,0,2,0
1605,21044.0482437579,19397.1887431231,7,92,0,17,12,4,0,40,8,8,0,16,2,12,0,0,3,6,0
1606,21475.3436741768,18678.5805892548,1,162,0,29,14,4,0,0,3,18,0,3,1,5,1,0,3,6,0
1607,22536.9573509015,18862.2604022191,1,99,0,53,22,2,0,57,3,6,0,9,4,7,5,3,8,11,0
