hg19_C1QTNF1
hg19_RP11-706O15.7
mm10_Hnrnpl
hg19_ANXA5
hg19_SHMT2
mm10_mt-Nd5
mm10_Asna1
hg19_COX17
hg19_CD81
hg19_HAGH
mm10_Dlk1
mm10_mt-Atp6
hg19_RPL37A
mm10_Klhl9
hg19_RPS3A
hg19_CTNNB1
mm10_Eef1a1
mm10_mt-Nd1
mm10_Rfx7
hg19_NARS
mm10_Epn2
mm10_Ift20
hg19_CS
hg19_CCNB2
mm10_Med21
hg19_ACTG1
mm10_Gnb2l1
mm10_Igf2
hg19_MT-ND5
hg19_TMEM109
mm10_Copz1
mm10_Atf5
mm10_Lpp
mm10_Cacna1a
mm10_mt-Nd4
mm10_Rps5
mm10_Zmynd11
mm10_Lox
mm10_Tpt1
hg19_IDH1
mm10_Kctd15
mm10_Cpsf7
hg19_PTRH2
hg19_SGCB
hg19_CSNK1E
hg19_RPS8
hg19_NDUFV3
mm10_Cfl1
mm10_Paics
hg19_RPS6
hg19_MT-ND4
hg19_PBDC1
mm10_Gm42418
hg19_ATP5G3
hg19_SERPINE2
hg19_DKC1
mm10_Col1a1
hg19_CDK1
mm10_Fstl1
hg19_LIX1L
mm10_Zfp329
mm10_Rpl34
mm10_Alyref
mm10_Zcchc11
hg19_VBP1
mm10_Alad
hg19_MT-ND3
hg19_RPL5
hg19_MT-ATP8
mm10_Ptma
mm10_Uqcrh
mm10_Rpl18
mm10_Chchd2
hg19_TPT1
hg19_NDUFB2
hg19_EI24
mm10_Col3a1
mm10_Eif4h
mm10_Dph5
mm10_Epha2
mm10_Caprin1
mm10_Nup62
mm10_Ubl5
hg19_IGDCC3
mm10_Ppp1r18
mm10_Rps23
mm10_Pabpc1
mm10_Slk
mm10_Rps16
mm10_Pyhin1
mm10_Nop16
mm10_Dcaf15
hg19_MT-ATP6
mm10_Lyn
mm10_Tubb5
hg19_INO80C
mm10_Dnajc7
mm10_Tk1
hg19_NOMO1
mm10_Cd3eap
mm10_Tbl1x
mm10_Cttn
hg19_KLHL7
mm10_Dnaja2
mm10_Zc3h7b
hg19_RPS2
hg19_APEX1
mm10_Dlx2
mm10_Rpl37
hg19_RPLP1
hg19_HMG20A
hg19_RNF38
hg19_RPL32
hg19_ACLY
mm10_Rps14
mm10_Ier2
mm10_mt-Cytb
hg19_NLE1
hg19_RRAGA
hg19_LARP1
hg19_SRSF2
hg19_KIAA0368
hg19_RPL14
mm10_Ndufa1
mm10_Rps27
hg19_SRRM1
hg19_RPS19
mm10_Rps20
mm10_Grem2
mm10_Col1a2
hg19_MINOS1
hg19_RFK
mm10_Dcn
mm10_Bzw1
hg19_QKI
mm10_Rpl10a
mm10_Rpl14
hg19_ZNF514
hg19_LEPRE1
hg19_PRRC1
mm10_Zfp503
hg19_SEPT7
hg19_TMEM9
hg19_C7orf73
mm10_Rpl4
hg19_RPL31
hg19_MT-ND2
hg19_RPL3
mm10_Kpnb1
hg19_PGRMC1
hg19_RPS14
hg19_BCLAF1
hg19_SLC35F6
hg19_NACA
hg19_ATF4
hg19_RPS20
mm10_Cyb5a
mm10_Spn
mm10_H13
mm10_Ing1
hg19_APPBP2
mm10_Tmem209
mm10_Tcn2
mm10_Ssbp3
mm10_Eef1g
hg19_RPS5
hg19_ATG3
mm10_Hn1
hg19_MT-CYB
mm10_Tuba1b
mm10_2700094K13Rik
mm10_Lsm8
mm10_Mpo
hg19_CECR5
mm10_Srsf3
hg19_MOB1B
